Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    35.276988   48.923251

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.8221127010E+000   0.1341512762E+001
Box 2    0.2505783443E+001   0.6257446165E+001

Rotation per molecule type
Box 1    0.5095897014E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.8061818103E+003
Box 2   0.5741281106E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 376   
Atomtype         X                  Y                   Z
  2       33.2122791334        9.7971395174        7.2529678260
  3       34.2386091014       10.3367528320        7.2203447102
  2       35.2649390693       10.8763661465        7.1877215943
  2       32.2239301243        5.4923446085       17.1330039761
  3       31.8729600254        6.0083849921       18.1108190466
  2       31.5219899266        6.5244253758       19.0886341171
  2       24.7787884647       16.2638065978       28.0441046144
  3       24.5269533570       15.3609815346       28.7275415052
  2       24.2751182493       14.4581564714       29.4109783962
  2       19.9483735261       24.5499531960       10.3540025706
  3       19.2805938619       24.5640745459       11.3024069715
  2       18.6128141978       24.5781958959       12.2508113724
  2       21.0655409648       21.3738014318       19.3364706407
  3       21.3993558128       22.2292203773       18.6276504416
  2       21.7331706610       23.0846393228       17.9188302423
  2       18.6268611962       26.7150175582       24.9124266193
  3       18.3532518676       25.8732039118       25.6621517156
  2       18.0796425389       25.0313902655       26.4118768120
  2       29.0606986364        0.8474662643        0.6407576362
  3       28.5985239282        1.8027944853        1.1090978215
  2       28.1363492199        2.7581227065        1.5774380067
  2       10.7562448931        0.4889390666        3.6490604137
  3       10.9431939959        1.5573080544        3.2376752669
  2       11.1301430988        2.6256770422        2.8262901202
  2       11.6116108170       32.3813116370        5.8150634848
  3       12.5923184010       31.7695638382        5.7171999809
  2       13.5730259850       31.1578160393        5.6193364771
  2       24.3974766378       32.6612192007        5.6607647618
  3       23.5481968213       32.7231410663        4.8730532183
  2       22.6989170048       32.7850629319        4.0853416747
  2       14.3366284115       32.4518007649       28.8051940529
  3       14.4639395100       33.5323757377       28.4030129836
  2       14.5912506085       34.6129507104       28.0008319144
  2       16.3123965432       22.8413139661       25.0446986136
  3       16.9414749668       22.3178549551       25.8668001893
  2       17.5705533904       21.7943959441       26.6889017651
  2       19.4138293203       10.4381114466        2.0093489330
  3       19.7058556519        9.3282118835        1.8406966830
  2       19.9978819835        8.2183123204        1.6720444330
  2        3.0599364122       26.9584747267       17.2192830202
  3        3.5614105335       25.9337615619       17.4292511976
  2        4.0628846548       24.9090483971       17.6392193751
  2       32.0059252280       29.2132764145       23.4517476910
  3       32.2539242381       28.5186108058       24.3470332226
  2       32.5019232482       27.8239451972       25.2423187543
  2       33.3046837613       16.6131129567       13.1713437888
  3       34.0472018412       16.3100683732       12.3332322917
  2       34.7897199211       16.0070237898       11.4951207947
  2       16.5157304462       31.9633297266       17.7356153581
  3       16.7452829978       31.0226521243       18.3743886156
  2       16.9748355495       30.0819745220       19.0131618731
  2       13.1264279602       23.9207422930       22.9253432483
  3       12.0896785723       24.3291381082       22.6029094344
  2       11.0529291841       24.7375339235       22.2804756204
  2       32.2419005190       24.2300455337       24.1313149145
  3       31.2017274378       23.9303891947       24.5482634001
  2       30.1615543565       23.6307328559       24.9652118856
  2       14.1378972441       14.6416222875        9.5435092283
