Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    32.527692   53.070546

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.9449293438E+000   0.1666056789E+001
Box 2    0.2855093288E+001   0.6978935049E+001

Rotation per molecule type
Box 1    0.5848159821E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.9473844846E+003
Box 2   0.5862749316E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 344   
Atomtype         X                  Y                   Z
  2       16.6176054288       11.1080847724       13.5533562391
  3       17.4751359173       11.1548440074       14.3331350765
  2       18.3326664059       11.2016032424       15.1129139138
  2        0.7507932046       26.2212860902        6.3722788576
  3        0.8631382862       25.3030732300        7.0721815122
  2        0.9754833679       24.3848603697        7.7720841668
  2        5.8228127270       19.0220389038        9.2873820586
  3        6.3035389816       19.8776445528        8.6689637200
  2        6.7842652360       20.7332502019        8.0505453812
  2       28.0045038469       13.5288142537       13.9281880324
  3       27.0810169288       13.0246564902       14.4166518093
  2       26.1575300105       12.5204987267       14.9051155862
  2       11.3091575918       18.9673598231        9.6343660880
  3       10.1702080477       19.0660513147        9.8309721037
  2        9.0312585036       19.1647428062       10.0275781194
  2       25.6736586218        9.2181235264        4.4917275382
  3       26.2271905082       10.1121424117        4.0018982991
  2       26.7807223946       11.0061612970        3.5120690601
  2       30.6758028897       16.7272181030        2.0354933735
  3       31.4232193611       15.9334403292        1.6394056759
  2       32.1706358325       15.1396625554        1.2433179784
  2       10.0803340692       21.0330767037        1.7998588036
  3       10.2393920146       21.7868041565        2.6671508517
  2       10.3984499600       22.5405316093        3.5344428998
  2        5.1443009239       30.5271508909       19.1346043369
  3        5.9081187298       31.0175652078       18.4123328109
  2        6.6719365358       31.5079795246       17.6900612850
  2       15.2456163077        1.8877081347       12.3385728999
