Date and Time     Completed      Estimated Time Left
11-09-2023 17:33      1%   17 hours and  30 minutes
11-09-2023 17:44      2%   17 hours and  23 minutes
11-09-2023 17:55      3%   17 hours and  19 minutes
11-09-2023 18:06      4%   17 hours and  15 minutes
11-09-2023 18:17      5%   17 hours and   9 minutes
11-09-2023 18:28      6%   16 hours and  59 minutes
11-09-2023 18:39      7%   16 hours and  48 minutes
11-09-2023 18:50      8%   16 hours and  37 minutes
11-09-2023 19:01      9%   16 hours and  26 minutes
11-09-2023 19:12     10%   16 hours and  14 minutes
11-09-2023 19:22     11%   16 hours and   3 minutes
11-09-2023 19:34     12%   15 hours and  53 minutes
11-09-2023 19:45     13%   15 hours and  44 minutes
11-09-2023 19:56     14%   15 hours and  33 minutes
11-09-2023 20:07     15%   15 hours and  22 minutes
11-09-2023 20:17     16%   15 hours and  11 minutes
11-09-2023 20:28     17%   15 hours and   0 minutes
11-09-2023 20:39     18%   14 hours and  49 minutes
11-09-2023 20:50     19%   14 hours and  38 minutes
11-09-2023 21:01     20%   14 hours and  26 minutes
11-09-2023 21:12     21%   14 hours and  16 minutes
11-09-2023 21:23     22%   14 hours and   6 minutes
11-09-2023 21:34     23%   13 hours and  56 minutes
11-09-2023 21:45     24%   13 hours and  45 minutes
11-09-2023 21:56     25%   13 hours and  34 minutes
11-09-2023 22:07     26%   13 hours and  24 minutes
11-09-2023 22:18     27%   13 hours and  13 minutes
11-09-2023 22:29     28%   13 hours and   1 minutes
11-09-2023 22:39     29%   12 hours and  50 minutes
11-09-2023 22:50     30%   12 hours and  38 minutes
11-09-2023 23:00     31%   12 hours and  26 minutes
11-09-2023 23:11     32%   12 hours and  15 minutes
11-09-2023 23:21     33%   12 hours and   3 minutes
11-09-2023 23:32     34%   11 hours and  52 minutes
11-09-2023 23:42     35%   11 hours and  40 minutes
11-09-2023 23:53     36%   11 hours and  29 minutes
12-09-2023 00:03     37%   11 hours and  18 minutes
12-09-2023 00:14     38%   11 hours and   6 minutes
12-09-2023 00:24     39%   10 hours and  55 minutes
12-09-2023 00:35     40%   10 hours and  44 minutes
12-09-2023 00:46     41%   10 hours and  33 minutes
12-09-2023 00:56     42%   10 hours and  22 minutes
12-09-2023 01:06     43%   10 hours and  10 minutes
12-09-2023 01:17     44%    9 hours and  59 minutes
12-09-2023 01:27     45%    9 hours and  48 minutes
12-09-2023 01:38     46%    9 hours and  37 minutes
12-09-2023 01:49     47%    9 hours and  26 minutes
12-09-2023 01:59     48%    9 hours and  15 minutes
12-09-2023 02:10     49%    9 hours and   4 minutes
12-09-2023 02:20     50%    8 hours and  54 minutes
12-09-2023 02:31     51%    8 hours and  43 minutes
12-09-2023 02:41     52%    8 hours and  32 minutes
12-09-2023 02:52     53%    8 hours and  21 minutes
12-09-2023 03:03     54%    8 hours and  11 minutes
12-09-2023 03:14     55%    8 hours and   0 minutes
12-09-2023 03:24     56%    7 hours and  49 minutes
12-09-2023 03:35     57%    7 hours and  39 minutes
12-09-2023 03:46     58%    7 hours and  28 minutes
12-09-2023 03:56     59%    7 hours and  17 minutes
12-09-2023 04:07     60%    7 hours and   6 minutes
12-09-2023 04:18     61%    6 hours and  56 minutes
12-09-2023 04:29     62%    6 hours and  45 minutes
12-09-2023 04:39     63%    6 hours and  34 minutes
12-09-2023 04:50     64%    6 hours and  24 minutes
12-09-2023 05:01     65%    6 hours and  13 minutes
12-09-2023 05:13     66%    6 hours and   3 minutes
12-09-2023 05:24     67%    5 hours and  53 minutes
12-09-2023 05:35     68%    5 hours and  42 minutes
12-09-2023 05:47     69%    5 hours and  32 minutes
12-09-2023 05:58     70%    5 hours and  21 minutes
12-09-2023 06:09     71%    5 hours and  10 minutes
12-09-2023 06:19     72%    5 hours and   0 minutes
12-09-2023 06:30     73%    4 hours and  49 minutes
12-09-2023 06:41     74%    4 hours and  38 minutes
12-09-2023 06:51     75%    4 hours and  27 minutes
12-09-2023 07:02     76%    4 hours and  17 minutes
12-09-2023 07:13     77%    4 hours and   6 minutes
12-09-2023 07:23     78%    3 hours and  55 minutes
12-09-2023 07:34     79%    3 hours and  44 minutes
12-09-2023 07:45     80%    3 hours and  34 minutes
12-09-2023 07:55     81%    3 hours and  23 minutes
12-09-2023 08:06     82%    3 hours and  12 minutes
12-09-2023 08:17     83%    3 hours and   1 minutes
12-09-2023 08:28     84%    2 hours and  51 minutes
12-09-2023 08:39     85%    2 hours and  40 minutes
12-09-2023 08:50     86%    2 hours and  29 minutes
12-09-2023 09:01     87%    2 hours and  19 minutes
12-09-2023 09:11     88%    2 hours and   8 minutes
12-09-2023 09:22     89%    1 hours and  57 minutes
12-09-2023 09:32     90%    1 hours and  47 minutes
12-09-2023 09:43     91%    1 hours and  36 minutes
12-09-2023 09:53     92%    1 hours and  25 minutes
12-09-2023 10:04     93%    1 hours and  14 minutes
12-09-2023 10:15     94%    1 hours and   4 minutes
12-09-2023 10:25     95%   53 minutes and 27 seconds
12-09-2023 10:35     96%   42 minutes and 44 seconds
12-09-2023 10:46     97%   32 minutes and  2 seconds
12-09-2023 10:56     98%   21 minutes and 21 seconds
12-09-2023 11:07     99%   10 minutes and 40 seconds
12-09-2023 11:17    100%    0 minutes and  0 seconds
