Date and Time     Completed      Estimated Time Left
11-09-2023 18:38      1%    2 days and  22 hours
11-09-2023 19:21      2%    2 days and  22 hours
11-09-2023 20:04      3%    2 days and  21 hours
11-09-2023 20:49      4%    2 days and  21 hours
11-09-2023 21:33      5%    2 days and  21 hours
11-09-2023 22:17      6%    2 days and  20 hours
11-09-2023 23:02      7%    2 days and  20 hours
11-09-2023 23:46      8%    2 days and  19 hours
12-09-2023 00:31      9%    2 days and  19 hours
12-09-2023 01:16     10%    2 days and  18 hours
12-09-2023 02:01     11%    2 days and  17 hours
12-09-2023 02:46     12%    2 days and  17 hours
12-09-2023 03:31     13%    2 days and  16 hours
12-09-2023 04:19     14%    2 days and  16 hours
12-09-2023 05:08     15%    2 days and  16 hours
12-09-2023 05:57     16%    2 days and  15 hours
12-09-2023 06:48     17%    2 days and  15 hours
