# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.6059792576E+002   0.8824354210E+003   0.8794314790E+003
   0.6147834061E+002   0.8842017829E+003   0.8811296124E+003
   0.6235875546E+002   0.8860096206E+003   0.8828785893E+003
   0.6323917030E+002   0.8878505244E+003   0.8846716141E+003
   0.6411958515E+002   0.8897151390E+003   0.8865007094E+003
   0.6500000000E+002   0.8915934108E+003   0.8883568821E+003
   0.6588041485E+002   0.8934748774E+003   0.8902303466E+003
   0.6676082970E+002   0.8953489807E+003   0.8921107965E+003
   0.6764124454E+002   0.8972053840E+003   0.8939877061E+003
   0.6852165939E+002   0.8990342725E+003   0.8958506446E+003
   0.6940207424E+002   0.9008266186E+003   0.8976895821E+003


# Box 2                   Boltzmann             Biased
   0.6405397049E+002   0.7102856100E+002   0.7079412668E+002
   0.6424317639E+002   0.7106042146E+002   0.7081260935E+002
   0.6443238229E+002   0.7108440880E+002   0.7082573850E+002
   0.6462158820E+002   0.7110126179E+002   0.7083437472E+002
   0.6481079410E+002   0.7111182398E+002   0.7083943584E+002
   0.6500000000E+002   0.7111702649E+002   0.7084187910E+002
   0.6518920590E+002   0.7111786974E+002   0.7084268365E+002
   0.6537841180E+002   0.7111540444E+002   0.7084283401E+002
   0.6556761771E+002   0.7111071273E+002   0.7084330481E+002
   0.6575682361E+002   0.7110488990E+002   0.7084504723E+002
   0.6594602951E+002   0.7109902724E+002   0.7084897728E+002


# Molecule: AR                      
# Box 1                   Boltzmann             Biased
   0.6059792576E+002   0.9620468005E+002   0.9696489593E+002
   0.6147834061E+002   0.9556849637E+002   0.9636634033E+002
   0.6235875546E+002   0.9491361128E+002   0.9574533761E+002
   0.6323917030E+002   0.9424338536E+002   0.9510451936E+002
   0.6411958515E+002   0.9356156750E+002   0.9444699718E+002
   0.6500000000E+002   0.9287219879E+002   0.9377630115E+002
   0.6588041485E+002   0.9217949931E+002   0.9309629505E+002
   0.6676082970E+002   0.9148774484E+002   0.9241107247E+002
   0.6764124454E+002   0.9080114137E+002   0.9172483977E+002
   0.6852165939E+002   0.9012370529E+002   0.9104179315E+002
   0.6940207424E+002   0.8945915675E+002   0.9036599761E+002


# Box 2                   Boltzmann             Biased
   0.6405397049E+002   0.9025393144E+002   0.9061716966E+002
   0.6424317639E+002   0.9070762025E+002   0.9107037220E+002
   0.6443238229E+002   0.9116405904E+002   0.9152598147E+002
   0.6462158820E+002   0.9162276838E+002   0.9198351451E+002
   0.6481079410E+002   0.9208326689E+002   0.9244248949E+002
   0.6500000000E+002   0.9254506982E+002   0.9290242629E+002
   0.6518920590E+002   0.9300768895E+002   0.9336284816E+002
   0.6537841180E+002   0.9347063388E+002   0.9382328428E+002
   0.6556761771E+002   0.9393341470E+002   0.9428327321E+002
   0.6575682361E+002   0.9439554588E+002   0.9474236694E+002
   0.6594602951E+002   0.9485655101E+002   0.9520013521E+002


