Date and Time     Completed      Estimated Time Left
11-09-2023 17:28      1%   15 hours and  34 minutes
11-09-2023 17:38      2%   15 hours and  33 minutes
11-09-2023 17:48      3%   15 hours and  28 minutes
11-09-2023 17:57      4%   15 hours and  17 minutes
11-09-2023 18:07      5%   15 hours and   7 minutes
11-09-2023 18:17      6%   14 hours and  59 minutes
11-09-2023 18:26      7%   14 hours and  50 minutes
11-09-2023 18:36      8%   14 hours and  42 minutes
11-09-2023 18:46      9%   14 hours and  36 minutes
11-09-2023 18:56     10%   14 hours and  30 minutes
11-09-2023 19:06     11%   14 hours and  21 minutes
11-09-2023 19:16     12%   14 hours and  12 minutes
11-09-2023 19:26     13%   14 hours and   4 minutes
11-09-2023 19:36     14%   13 hours and  57 minutes
11-09-2023 19:46     15%   13 hours and  50 minutes
11-09-2023 19:57     16%   13 hours and  42 minutes
11-09-2023 20:07     17%   13 hours and  36 minutes
11-09-2023 20:18     18%   13 hours and  28 minutes
11-09-2023 20:28     19%   13 hours and  19 minutes
11-09-2023 20:38     20%   13 hours and  10 minutes
11-09-2023 20:48     21%   13 hours and   0 minutes
11-09-2023 20:58     22%   12 hours and  51 minutes
11-09-2023 21:08     23%   12 hours and  41 minutes
11-09-2023 21:18     24%   12 hours and  31 minutes
11-09-2023 21:28     25%   12 hours and  21 minutes
11-09-2023 21:38     26%   12 hours and  11 minutes
11-09-2023 21:48     27%   12 hours and   1 minutes
11-09-2023 21:58     28%   11 hours and  51 minutes
11-09-2023 22:08     29%   11 hours and  41 minutes
11-09-2023 22:18     30%   11 hours and  32 minutes
11-09-2023 22:27     31%   11 hours and  21 minutes
11-09-2023 22:37     32%   11 hours and  11 minutes
11-09-2023 22:47     33%   11 hours and   1 minutes
11-09-2023 22:57     34%   10 hours and  51 minutes
11-09-2023 23:07     35%   10 hours and  41 minutes
11-09-2023 23:17     36%   10 hours and  31 minutes
11-09-2023 23:26     37%   10 hours and  21 minutes
11-09-2023 23:36     38%   10 hours and  11 minutes
11-09-2023 23:46     39%   10 hours and   1 minutes
11-09-2023 23:56     40%    9 hours and  51 minutes
12-09-2023 00:05     41%    9 hours and  40 minutes
12-09-2023 00:15     42%    9 hours and  30 minutes
12-09-2023 00:25     43%    9 hours and  20 minutes
12-09-2023 00:35     44%    9 hours and  10 minutes
12-09-2023 00:44     45%    9 hours and   0 minutes
12-09-2023 00:54     46%    8 hours and  50 minutes
12-09-2023 01:04     47%    8 hours and  40 minutes
12-09-2023 01:14     48%    8 hours and  30 minutes
12-09-2023 01:23     49%    8 hours and  20 minutes
12-09-2023 01:33     50%    8 hours and  10 minutes
12-09-2023 01:43     51%    8 hours and   0 minutes
12-09-2023 01:53     52%    7 hours and  51 minutes
12-09-2023 02:03     53%    7 hours and  41 minutes
12-09-2023 02:12     54%    7 hours and  31 minutes
12-09-2023 02:22     55%    7 hours and  21 minutes
12-09-2023 02:32     56%    7 hours and  11 minutes
12-09-2023 02:41     57%    7 hours and   1 minutes
12-09-2023 02:51     58%    6 hours and  51 minutes
12-09-2023 03:01     59%    6 hours and  41 minutes
12-09-2023 03:11     60%    6 hours and  32 minutes
12-09-2023 03:21     61%    6 hours and  22 minutes
12-09-2023 03:31     62%    6 hours and  12 minutes
12-09-2023 03:41     63%    6 hours and   3 minutes
12-09-2023 03:51     64%    5 hours and  53 minutes
12-09-2023 04:01     65%    5 hours and  43 minutes
12-09-2023 04:11     66%    5 hours and  33 minutes
12-09-2023 04:21     67%    5 hours and  23 minutes
12-09-2023 04:31     68%    5 hours and  14 minutes
12-09-2023 04:41     69%    5 hours and   4 minutes
12-09-2023 04:51     70%    4 hours and  54 minutes
12-09-2023 05:01     71%    4 hours and  44 minutes
12-09-2023 05:11     72%    4 hours and  34 minutes
12-09-2023 05:20     73%    4 hours and  24 minutes
12-09-2023 05:30     74%    4 hours and  15 minutes
12-09-2023 05:40     75%    4 hours and   5 minutes
12-09-2023 05:51     76%    3 hours and  55 minutes
12-09-2023 06:01     77%    3 hours and  45 minutes
12-09-2023 06:11     78%    3 hours and  36 minutes
12-09-2023 06:21     79%    3 hours and  26 minutes
12-09-2023 06:31     80%    3 hours and  16 minutes
12-09-2023 06:41     81%    3 hours and   6 minutes
12-09-2023 06:51     82%    2 hours and  56 minutes
12-09-2023 07:00     83%    2 hours and  47 minutes
12-09-2023 07:10     84%    2 hours and  37 minutes
12-09-2023 07:20     85%    2 hours and  27 minutes
12-09-2023 07:30     86%    2 hours and  17 minutes
12-09-2023 07:40     87%    2 hours and   7 minutes
12-09-2023 07:50     88%    1 hours and  57 minutes
12-09-2023 07:59     89%    1 hours and  48 minutes
12-09-2023 08:09     90%    1 hours and  38 minutes
12-09-2023 08:19     91%    1 hours and  28 minutes
12-09-2023 08:28     92%    1 hours and  18 minutes
12-09-2023 08:38     93%    1 hours and   8 minutes
12-09-2023 08:48     94%   58 minutes and 53 seconds
12-09-2023 08:58     95%   49 minutes and  4 seconds
12-09-2023 09:08     96%   39 minutes and 15 seconds
12-09-2023 09:17     97%   29 minutes and 26 seconds
12-09-2023 09:27     98%   19 minutes and 37 seconds
12-09-2023 09:37     99%    9 minutes and 48 seconds
12-09-2023 09:47    100%    0 minutes and  0 seconds
