Date and Time     Completed      Estimated Time Left
11-09-2023 18:38      1%    2 days and  22 hours
11-09-2023 19:21      2%    2 days and  22 hours
11-09-2023 20:04      3%    2 days and  21 hours
11-09-2023 20:46      4%    2 days and  20 hours
11-09-2023 21:30      5%    2 days and  20 hours
11-09-2023 22:13      6%    2 days and  19 hours
11-09-2023 22:57      7%    2 days and  19 hours
11-09-2023 23:40      8%    2 days and  18 hours
12-09-2023 00:24      9%    2 days and  17 hours
12-09-2023 01:06     10%    2 days and  17 hours
12-09-2023 01:48     11%    2 days and  16 hours
12-09-2023 02:30     12%    2 days and  15 hours
12-09-2023 03:13     13%    2 days and  14 hours
12-09-2023 03:56     14%    2 days and  14 hours
12-09-2023 04:38     15%    2 days and  13 hours
12-09-2023 05:20     16%    2 days and  12 hours
12-09-2023 06:02     17%    2 days and  11 hours
12-09-2023 06:44     18%    2 days and  10 hours
12-09-2023 07:26     19%    2 days and  10 hours
12-09-2023 08:07     20%    2 days and   9 hours
12-09-2023 08:48     21%    2 days and   8 hours
12-09-2023 09:29     22%    2 days and   7 hours
12-09-2023 10:10     23%    2 days and   6 hours
12-09-2023 10:50     24%    2 days and   6 hours
12-09-2023 11:31     25%    2 days and   5 hours
12-09-2023 12:12     26%    2 days and   4 hours
12-09-2023 12:53     27%    2 days and   3 hours
12-09-2023 13:34     28%    2 days and   3 hours
12-09-2023 14:15     29%    2 days and   2 hours
12-09-2023 14:55     30%    2 days and   1 hours
12-09-2023 15:36     31%    1 days and  24 hours
12-09-2023 16:17     32%    1 days and  24 hours
12-09-2023 16:58     33%    1 days and  23 hours
12-09-2023 17:39     34%    1 days and  22 hours
12-09-2023 18:21     35%    1 days and  22 hours
12-09-2023 19:03     36%    1 days and  21 hours
12-09-2023 19:44     37%    1 days and  20 hours
12-09-2023 20:25     38%    1 days and  19 hours
12-09-2023 21:07     39%    1 days and  19 hours
12-09-2023 21:49     40%    1 days and  18 hours
12-09-2023 22:31     41%    1 days and  17 hours
12-09-2023 23:12     42%    1 days and  17 hours
12-09-2023 23:53     43%    1 days and  16 hours
13-09-2023 00:34     44%    1 days and  15 hours
13-09-2023 01:16     45%    1 days and  15 hours
13-09-2023 01:58     46%    1 days and  14 hours
13-09-2023 02:39     47%    1 days and  13 hours
13-09-2023 03:21     48%    1 days and  13 hours
13-09-2023 04:03     49%    1 days and  12 hours
13-09-2023 04:46     50%    1 days and  11 hours
13-09-2023 05:28     51%    1 days and  10 hours
13-09-2023 06:10     52%    1 days and  10 hours
13-09-2023 06:52     53%    1 days and   9 hours
13-09-2023 07:35     54%    1 days and   8 hours
13-09-2023 08:17     55%    1 days and   8 hours
13-09-2023 08:59     56%    1 days and   7 hours
13-09-2023 09:41     57%    1 days and   6 hours
13-09-2023 10:23     58%    1 days and   6 hours
13-09-2023 11:05     59%    1 days and   5 hours
13-09-2023 11:47     60%    1 days and   4 hours
13-09-2023 12:29     61%    1 days and   4 hours
13-09-2023 13:11     62%    1 days and   3 hours
13-09-2023 13:53     63%    1 days and   2 hours
13-09-2023 14:34     64%    1 days and   1 hours
13-09-2023 15:16     65%    1 days and   1 hours
13-09-2023 15:58     66%   23 hours and  35 minutes
13-09-2023 16:40     67%   22 hours and  54 minutes
13-09-2023 17:22     68%   22 hours and  12 minutes
13-09-2023 18:04     69%   21 hours and  31 minutes
13-09-2023 18:45     70%   20 hours and  49 minutes
13-09-2023 19:27     71%   20 hours and   7 minutes
13-09-2023 20:09     72%   19 hours and  26 minutes
13-09-2023 20:50     73%   18 hours and  44 minutes
13-09-2023 21:32     74%   18 hours and   2 minutes
13-09-2023 22:15     75%   17 hours and  21 minutes
13-09-2023 22:57     76%   16 hours and  39 minutes
13-09-2023 23:39     77%   15 hours and  58 minutes
14-09-2023 00:21     78%   15 hours and  16 minutes
14-09-2023 01:03     79%   14 hours and  35 minutes
14-09-2023 01:46     80%   13 hours and  53 minutes
14-09-2023 02:29     81%   13 hours and  12 minutes
14-09-2023 03:12     82%   12 hours and  30 minutes
14-09-2023 03:55     83%   11 hours and  49 minutes
14-09-2023 04:38     84%   11 hours and   7 minutes
14-09-2023 05:21     85%   10 hours and  26 minutes
14-09-2023 06:05     86%    9 hours and  44 minutes
14-09-2023 06:48     87%    9 hours and   3 minutes
14-09-2023 07:30     88%    8 hours and  21 minutes
14-09-2023 08:14     89%    7 hours and  40 minutes
14-09-2023 08:58     90%    6 hours and  58 minutes
14-09-2023 09:40     91%    6 hours and  16 minutes
14-09-2023 10:25     92%    5 hours and  34 minutes
14-09-2023 11:09     93%    4 hours and  53 minutes
14-09-2023 11:53     94%    4 hours and  11 minutes
14-09-2023 12:38     95%    3 hours and  29 minutes
14-09-2023 13:22     96%    2 hours and  47 minutes
14-09-2023 14:06     97%    2 hours and   5 minutes
14-09-2023 14:52     98%    1 hours and  24 minutes
14-09-2023 15:39     99%   42 minutes and  4 seconds
14-09-2023 16:26    100%    0 minutes and  0 seconds
