Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  21 hours
11-09-2023 19:18      2%    2 days and  20 hours
11-09-2023 20:00      3%    2 days and  20 hours
11-09-2023 20:42      4%    2 days and  19 hours
11-09-2023 21:24      5%    2 days and  18 hours
11-09-2023 22:06      6%    2 days and  18 hours
11-09-2023 22:49      7%    2 days and  17 hours
11-09-2023 23:32      8%    2 days and  17 hours
12-09-2023 00:14      9%    2 days and  16 hours
12-09-2023 00:57     10%    2 days and  16 hours
12-09-2023 01:40     11%    2 days and  15 hours
12-09-2023 02:21     12%    2 days and  14 hours
12-09-2023 03:03     13%    2 days and  13 hours
12-09-2023 03:44     14%    2 days and  13 hours
12-09-2023 04:26     15%    2 days and  12 hours
12-09-2023 05:08     16%    2 days and  11 hours
12-09-2023 05:49     17%    2 days and  10 hours
12-09-2023 06:31     18%    2 days and  10 hours
12-09-2023 07:14     19%    2 days and   9 hours
12-09-2023 07:56     20%    2 days and   8 hours
12-09-2023 08:40     21%    2 days and   8 hours
12-09-2023 09:24     22%    2 days and   7 hours
12-09-2023 10:07     23%    2 days and   6 hours
12-09-2023 10:50     24%    2 days and   6 hours
12-09-2023 11:34     25%    2 days and   5 hours
12-09-2023 12:19     26%    2 days and   5 hours
12-09-2023 13:04     27%    2 days and   4 hours
12-09-2023 13:50     28%    2 days and   3 hours
12-09-2023 14:36     29%    2 days and   3 hours
12-09-2023 15:22     30%    2 days and   2 hours
12-09-2023 16:07     31%    2 days and   2 hours
12-09-2023 16:53     32%    2 days and   1 hours
12-09-2023 17:40     33%    1 days and  24 hours
12-09-2023 18:29     34%    1 days and  24 hours
12-09-2023 19:18     35%    1 days and  23 hours
12-09-2023 20:07     36%    1 days and  23 hours
12-09-2023 20:57     37%    1 days and  22 hours
12-09-2023 21:50     38%    1 days and  22 hours
12-09-2023 22:44     39%    1 days and  21 hours
12-09-2023 23:40     40%    1 days and  21 hours
13-09-2023 00:35     41%    1 days and  20 hours
13-09-2023 01:30     42%    1 days and  20 hours
13-09-2023 02:27     43%    1 days and  19 hours
