Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  20 hours
11-09-2023 19:18      2%    2 days and  21 hours
11-09-2023 20:01      3%    2 days and  20 hours
11-09-2023 20:44      4%    2 days and  20 hours
11-09-2023 21:27      5%    2 days and  20 hours
11-09-2023 22:09      6%    2 days and  19 hours
11-09-2023 22:51      7%    2 days and  18 hours
11-09-2023 23:34      8%    2 days and  17 hours
12-09-2023 00:16      9%    2 days and  17 hours
12-09-2023 01:00     10%    2 days and  16 hours
12-09-2023 01:44     11%    2 days and  15 hours
12-09-2023 02:27     12%    2 days and  15 hours
12-09-2023 03:11     13%    2 days and  14 hours
12-09-2023 03:55     14%    2 days and  14 hours
12-09-2023 04:40     15%    2 days and  13 hours
12-09-2023 05:25     16%    2 days and  13 hours
12-09-2023 06:09     17%    2 days and  12 hours
12-09-2023 06:53     18%    2 days and  11 hours
12-09-2023 07:37     19%    2 days and  11 hours
12-09-2023 08:23     20%    2 days and  10 hours
12-09-2023 09:09     21%    2 days and  10 hours
12-09-2023 09:57     22%    2 days and   9 hours
12-09-2023 10:44     23%    2 days and   8 hours
12-09-2023 11:32     24%    2 days and   8 hours
12-09-2023 12:20     25%    2 days and   7 hours
12-09-2023 13:08     26%    2 days and   7 hours
12-09-2023 13:58     27%    2 days and   6 hours
12-09-2023 14:49     28%    2 days and   6 hours
12-09-2023 15:39     29%    2 days and   5 hours
12-09-2023 16:30     30%    2 days and   5 hours
12-09-2023 17:20     31%    2 days and   4 hours
12-09-2023 18:09     32%    2 days and   4 hours
12-09-2023 19:00     33%    2 days and   3 hours
12-09-2023 19:53     34%    2 days and   3 hours
12-09-2023 20:46     35%    2 days and   2 hours
12-09-2023 21:41     36%    2 days and   2 hours
12-09-2023 22:36     37%    2 days and   1 hours
12-09-2023 23:32     38%    2 days and   1 hours
13-09-2023 00:27     39%    1 days and  24 hours
