Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    34.878965   52.773883

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7915545860E+000   0.1276318506E+001
Box 2    0.3582483157E+001   0.1194249057E+002

Rotation per molecule type
Box 1    0.4707516445E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.7464052277E+003
Box 2   0.7711368131E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 471   
  2       21.4065817731       -0.4796179356       30.0202391468
  3       21.6909847276        0.3973652376       30.7242387728
  2       21.9753876820        1.2743484108       31.4282383988
  2       21.1287134543        5.8145503052       11.6690824428
  3       21.8060564625        5.4157097491       10.8160099606
  2       22.4833994708        5.0168691930        9.9629374784
  2       33.8501941453        2.3412796373        5.4544767861
  3       33.7842130104        2.4476350980        4.3012487055
  2       33.7182318754        2.5539905585        3.1480206249
  2       32.4352262754       19.5791467275       24.1431046708
  3       33.4313923002       20.0503114098       23.7808104627
  2       34.4275583250       20.5214760920       23.4185162547
  2        0.3852026185       28.2530044756       17.4883031435
  3        1.0570497471       28.2308110513       18.4336754975
  2        1.7288968757       28.2086176270       19.3790478515
  2       17.1443772933       31.6389856291       33.0510732081
  3       16.8222709344       32.6737315524       32.6373723890
  2       16.5001645756       33.7084774757       32.2236715699
  2       26.7375810518       24.9908167483       33.7110878964
  3       25.7659793689       24.8351308542       33.0967980037
  2       24.7943776861       24.6794449601       32.4825081111
  2       27.8298016825       17.9957199273       22.2413840777
  3       28.7744668938       18.6274801740       22.0088187554
  2       29.7191321052       19.2592404207       21.7762534331
  2       20.7617374376       14.7681354473       15.6041188774
  3       20.9833682362       13.7503339583       16.1145695783
  2       21.2049990349       12.7325324693       16.6250202793
  2        0.8945034004       31.3826811163       20.7763128995
  3        1.0892393201       32.0949402282       21.6709440408
  2        1.2839752399       32.8071993402       22.5655751821
  2       19.8294981988       19.7175678142       13.8106475978
  3       19.7289314566       19.5263045590       14.9503425997
  2       19.6283647143       19.3350413040       16.0900376017
  2        1.6478954546        0.3655399354       33.0866858723
  3        0.9200538967        1.1228016328       32.5943431176
  2        0.1922123388        1.8800633303       32.1020003628
  2        6.7163480858       14.5166736175       30.1424959366
  3        7.6654726720       14.6322247721       30.7993143671
  2        8.6145972580       14.7477759266       31.4561327976
  2        1.7726474432        3.9863151945        7.1120018866
  3        1.0025280923        3.3941932922        7.7459639031
  2        0.2324087416        2.8020713900        8.3799259197
  2        4.6305592762       28.8677284341       14.1318356130
