Date and Time     Completed      Estimated Time Left
11-09-2023 17:34      1%   17 hours and  41 minutes
11-09-2023 17:45      2%   17 hours and  33 minutes
11-09-2023 17:55      3%   17 hours and  14 minutes
11-09-2023 18:06      4%   17 hours and   4 minutes
11-09-2023 18:17      5%   16 hours and  53 minutes
11-09-2023 18:27      6%   16 hours and  42 minutes
11-09-2023 18:38      7%   16 hours and  30 minutes
11-09-2023 18:49      8%   16 hours and  19 minutes
11-09-2023 18:59      9%   16 hours and   6 minutes
11-09-2023 19:10     10%   15 hours and  56 minutes
11-09-2023 19:21     11%   15 hours and  45 minutes
11-09-2023 19:31     12%   15 hours and  35 minutes
11-09-2023 19:42     13%   15 hours and  25 minutes
11-09-2023 19:53     14%   15 hours and  15 minutes
11-09-2023 20:04     15%   15 hours and   6 minutes
11-09-2023 20:15     16%   14 hours and  55 minutes
11-09-2023 20:25     17%   14 hours and  44 minutes
11-09-2023 20:36     18%   14 hours and  33 minutes
11-09-2023 20:47     19%   14 hours and  23 minutes
11-09-2023 20:58     20%   14 hours and  12 minutes
11-09-2023 21:08     21%   14 hours and   2 minutes
11-09-2023 21:19     22%   13 hours and  51 minutes
11-09-2023 21:30     23%   13 hours and  40 minutes
11-09-2023 21:40     24%   13 hours and  29 minutes
11-09-2023 21:51     25%   13 hours and  18 minutes
11-09-2023 22:01     26%   13 hours and   7 minutes
11-09-2023 22:12     27%   12 hours and  56 minutes
11-09-2023 22:23     28%   12 hours and  45 minutes
11-09-2023 22:33     29%   12 hours and  35 minutes
11-09-2023 22:44     30%   12 hours and  24 minutes
11-09-2023 22:55     31%   12 hours and  13 minutes
11-09-2023 23:05     32%   12 hours and   2 minutes
11-09-2023 23:16     33%   11 hours and  51 minutes
11-09-2023 23:26     34%   11 hours and  41 minutes
11-09-2023 23:37     35%   11 hours and  30 minutes
11-09-2023 23:48     36%   11 hours and  20 minutes
11-09-2023 23:59     37%   11 hours and  10 minutes
12-09-2023 00:10     38%   10 hours and  59 minutes
12-09-2023 00:20     39%   10 hours and  48 minutes
12-09-2023 00:31     40%   10 hours and  38 minutes
12-09-2023 00:42     41%   10 hours and  27 minutes
12-09-2023 00:52     42%   10 hours and  16 minutes
12-09-2023 01:03     43%   10 hours and   6 minutes
12-09-2023 01:14     44%    9 hours and  55 minutes
12-09-2023 01:24     45%    9 hours and  44 minutes
12-09-2023 01:35     46%    9 hours and  33 minutes
12-09-2023 01:46     47%    9 hours and  23 minutes
12-09-2023 01:56     48%    9 hours and  12 minutes
12-09-2023 02:07     49%    9 hours and   2 minutes
12-09-2023 02:18     50%    8 hours and  51 minutes
12-09-2023 02:28     51%    8 hours and  40 minutes
12-09-2023 02:39     52%    8 hours and  30 minutes
12-09-2023 02:50     53%    8 hours and  19 minutes
12-09-2023 03:00     54%    8 hours and   8 minutes
12-09-2023 03:11     55%    7 hours and  57 minutes
12-09-2023 03:21     56%    7 hours and  47 minutes
12-09-2023 03:32     57%    7 hours and  36 minutes
12-09-2023 03:43     58%    7 hours and  25 minutes
12-09-2023 03:53     59%    7 hours and  15 minutes
12-09-2023 04:03     60%    7 hours and   4 minutes
12-09-2023 04:14     61%    6 hours and  53 minutes
12-09-2023 04:24     62%    6 hours and  42 minutes
12-09-2023 04:35     63%    6 hours and  32 minutes
12-09-2023 04:45     64%    6 hours and  21 minutes
12-09-2023 04:56     65%    6 hours and  10 minutes
12-09-2023 05:07     66%    6 hours and   0 minutes
12-09-2023 05:17     67%    5 hours and  49 minutes
12-09-2023 05:28     68%    5 hours and  39 minutes
12-09-2023 05:39     69%    5 hours and  28 minutes
12-09-2023 05:49     70%    5 hours and  17 minutes
12-09-2023 06:00     71%    5 hours and   7 minutes
12-09-2023 06:10     72%    4 hours and  56 minutes
12-09-2023 06:21     73%    4 hours and  45 minutes
12-09-2023 06:31     74%    4 hours and  35 minutes
12-09-2023 06:42     75%    4 hours and  24 minutes
12-09-2023 06:53     76%    4 hours and  14 minutes
12-09-2023 07:03     77%    4 hours and   3 minutes
12-09-2023 07:14     78%    3 hours and  52 minutes
12-09-2023 07:25     79%    3 hours and  42 minutes
12-09-2023 07:35     80%    3 hours and  31 minutes
12-09-2023 07:46     81%    3 hours and  21 minutes
12-09-2023 07:57     82%    3 hours and  10 minutes
12-09-2023 08:08     83%    3 hours and   0 minutes
12-09-2023 08:18     84%    2 hours and  49 minutes
12-09-2023 08:29     85%    2 hours and  38 minutes
12-09-2023 08:40     86%    2 hours and  28 minutes
12-09-2023 08:51     87%    2 hours and  17 minutes
12-09-2023 09:01     88%    2 hours and   7 minutes
12-09-2023 09:12     89%    1 hours and  56 minutes
12-09-2023 09:22     90%    1 hours and  45 minutes
12-09-2023 09:33     91%    1 hours and  35 minutes
12-09-2023 09:44     92%    1 hours and  24 minutes
12-09-2023 09:54     93%    1 hours and  14 minutes
12-09-2023 10:05     94%    1 hours and   3 minutes
12-09-2023 10:16     95%   52 minutes and 56 seconds
12-09-2023 10:26     96%   42 minutes and 21 seconds
12-09-2023 10:37     97%   31 minutes and 46 seconds
12-09-2023 10:47     98%   21 minutes and 10 seconds
12-09-2023 10:58     99%   10 minutes and 35 seconds
12-09-2023 11:09    100%    0 minutes and  0 seconds
