Date and Time     Completed      Estimated Time Left
11-09-2023 18:38      1%    2 days and  21 hours
11-09-2023 19:22      2%    2 days and  22 hours
11-09-2023 20:07      3%    2 days and  23 hours
11-09-2023 20:52      4%    2 days and  22 hours
11-09-2023 21:38      5%    2 days and  22 hours
11-09-2023 22:25      6%    2 days and  22 hours
11-09-2023 23:14      7%    2 days and  23 hours
12-09-2023 00:05      8%    2 days and  23 hours
12-09-2023 00:58      9%    2 days and  23 hours
12-09-2023 01:50     10%    2 days and  23 hours
12-09-2023 02:45     11%    2 days and  24 hours
