# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.8018356290E+002   0.8459149524E+003   0.8440637905E+003
   0.8114685032E+002   0.8475258048E+003   0.8457168721E+003
   0.8211013774E+002   0.8490960211E+003   0.8473308676E+003
   0.8307342516E+002   0.8506239240E+003   0.8489035936E+003
   0.8403671258E+002   0.8521084587E+003   0.8504335173E+003
   0.8500000000E+002   0.8535491494E+003   0.8519197246E+003
   0.8596328742E+002   0.8549460434E+003   0.8533618726E+003
   0.8692657484E+002   0.8562996483E+003   0.8547601313E+003
   0.8788986226E+002   0.8576108632E+003   0.8561151176E+003
   0.8885314968E+002   0.8588809098E+003   0.8574278264E+003
   0.8981643710E+002   0.8601112649E+003   0.8586995602E+003


# Box 2                   Boltzmann             Biased
   0.8379716582E+002   0.8864916318E+002   0.8858580187E+002
   0.8403773265E+002   0.8892180550E+002   0.8885518055E+002
   0.8427829949E+002   0.8919299418E+002   0.8912307252E+002
   0.8451886633E+002   0.8946286182E+002   0.8938959998E+002
   0.8475943316E+002   0.8973148418E+002   0.8965483845E+002
   0.8500000000E+002   0.8999888675E+002   0.8991882249E+002
   0.8524056684E+002   0.9026505130E+002   0.9018155130E+002
   0.8548113367E+002   0.9052992219E+002   0.9044299389E+002
   0.8572170051E+002   0.9079341240E+002   0.9070309379E+002
   0.8596226735E+002   0.9105540911E+002   0.9096177326E+002
   0.8620283418E+002   0.9131577889E+002   0.9121893704E+002


# Molecule: AR                      
# Box 1                   Boltzmann             Biased
   0.8018356290E+002   0.1290037160E+003   0.1294314705E+003
   0.8114685032E+002   0.1284644136E+003   0.1288821686E+003
   0.8211013774E+002   0.1279375417E+003   0.1283441023E+003
   0.8307342516E+002   0.1274239345E+003   0.1278183443E+003
   0.8403671258E+002   0.1269241627E+003   0.1273056935E+003
   0.8500000000E+002   0.1264385493E+003   0.1268066853E+003
   0.8596328742E+002   0.1259671921E+003   0.1263216095E+003
   0.8692657484E+002   0.1255099897E+003   0.1258505332E+003
   0.8788986226E+002   0.1250666703E+003   0.1253933281E+003
   0.8885314968E+002   0.1246368210E+003   0.1249496993E+003
   0.8981643710E+002   0.1242199170E+003   0.1245192148E+003


# Box 2                   Boltzmann             Biased
   0.8379716582E+002   0.1343297509E+003   0.1345221047E+003
   0.8403773265E+002   0.1348795849E+003   0.1350650217E+003
   0.8427829949E+002   0.1354268447E+003   0.1356067133E+003
   0.8451886633E+002   0.1359725502E+003   0.1361479749E+003
   0.8475943316E+002   0.1365175085E+003   0.1366894277E+003
   0.8500000000E+002   0.1370623284E+003   0.1372315285E+003
   0.8524056684E+002   0.1376074339E+003   0.1377745772E+003
   0.8548113367E+002   0.1381530759E+003   0.1383187243E+003
   0.8572170051E+002   0.1386993436E+003   0.1388639779E+003
   0.8596226735E+002   0.1392461743E+003   0.1394102104E+003
   0.8620283418E+002   0.1397933639E+003   0.1399571655E+003


