Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  20 hours
11-09-2023 19:18      2%    2 days and  20 hours
11-09-2023 20:00      3%    2 days and  20 hours
11-09-2023 20:43      4%    2 days and  19 hours
11-09-2023 21:25      5%    2 days and  19 hours
11-09-2023 22:07      6%    2 days and  18 hours
11-09-2023 22:49      7%    2 days and  17 hours
11-09-2023 23:32      8%    2 days and  17 hours
12-09-2023 00:14      9%    2 days and  16 hours
12-09-2023 00:56     10%    2 days and  15 hours
12-09-2023 01:38     11%    2 days and  15 hours
12-09-2023 02:20     12%    2 days and  14 hours
12-09-2023 03:02     13%    2 days and  13 hours
12-09-2023 03:44     14%    2 days and  12 hours
12-09-2023 04:26     15%    2 days and  12 hours
12-09-2023 05:09     16%    2 days and  11 hours
12-09-2023 05:53     17%    2 days and  11 hours
12-09-2023 06:37     18%    2 days and  10 hours
12-09-2023 07:21     19%    2 days and   9 hours
12-09-2023 08:04     20%    2 days and   9 hours
12-09-2023 08:47     21%    2 days and   8 hours
12-09-2023 09:30     22%    2 days and   7 hours
12-09-2023 10:13     23%    2 days and   7 hours
12-09-2023 10:57     24%    2 days and   6 hours
12-09-2023 11:40     25%    2 days and   5 hours
12-09-2023 12:25     26%    2 days and   5 hours
12-09-2023 13:11     27%    2 days and   4 hours
12-09-2023 13:57     28%    2 days and   4 hours
12-09-2023 14:44     29%    2 days and   3 hours
12-09-2023 15:32     30%    2 days and   3 hours
12-09-2023 16:20     31%    2 days and   2 hours
12-09-2023 17:07     32%    2 days and   2 hours
12-09-2023 17:56     33%    2 days and   1 hours
12-09-2023 18:44     34%    1 days and  24 hours
12-09-2023 19:33     35%    1 days and  24 hours
12-09-2023 20:20     36%    1 days and  23 hours
12-09-2023 21:09     37%    1 days and  23 hours
12-09-2023 22:01     38%    1 days and  22 hours
12-09-2023 22:55     39%    1 days and  22 hours
12-09-2023 23:52     40%    1 days and  21 hours
13-09-2023 00:48     41%    1 days and  21 hours
