Date and Time     Completed      Estimated Time Left
11-09-2023 18:40      1%    2 days and  24 hours
11-09-2023 19:24      2%    2 days and  24 hours
11-09-2023 20:10      3%    2 days and  24 hours
11-09-2023 20:58      4%    3 days and   1 hours
11-09-2023 21:48      5%    3 days and   1 hours
11-09-2023 22:37      6%    3 days and   1 hours
11-09-2023 23:29      7%    3 days and   2 hours
12-09-2023 00:22      8%    3 days and   2 hours
12-09-2023 01:17      9%    3 days and   2 hours
12-09-2023 02:12     10%    3 days and   2 hours
