Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    32.824589   68.801093

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.6858254834E+000   0.1145782899E+001
Box 2    0.1678496064E+002   0.3459050006E+002

Rotation per molecule type
Box 1    0.4200767105E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.6407289739E+003
Box 2   0.2155982120E+005

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 468   
Atomtype         X                  Y                   Z
  2       14.0992369829       20.7571958881        6.7075527866
  3       13.8289594007       19.6652007159        6.4245394080
  2       13.5586818184       18.5732055437        6.1415260295
  2        1.2416616345       23.5927730197       -0.4382600201
  3        0.9978938619       23.3424425075        0.6678647051
  2        0.7541260891       23.0921119954        1.7739894303
  2        9.9991775617       17.8993240316       29.3561748327
  3        9.1584488406       17.1405341626       29.1051506266
  2        8.3177201195       16.3817442936       28.8541264206
  2       22.2243101214        7.7653337339        6.0954099282
  3       22.8844639457        8.6980477748        5.8958067060
  2       23.5446177700        9.6307618155        5.6962034839
  2       24.5490001953        3.1524353237        5.0411949986
  3       25.2527370579        4.0112635675        4.7053848201
  2       25.9564739204        4.8700918112        4.3695746417
  2       25.8622085418       22.7376593972       21.3928191853
  3       26.8209282721       23.2005936118       21.8534148773
  2       27.7796480026       23.6635278266       22.3140105692
  2       18.4543084967       17.7841702706       17.4595140914
  3       18.8259800811       17.3580322926       18.4723648489
  2       19.1976516655       16.9318943146       19.4852156064
  2       32.1313211346       32.6663718898       13.8400375487
  3       32.2271364139       32.2945922311       12.7454146376
  2       32.3229516933       31.9228125725       11.6507917264
  2       15.7994878300       16.5175283106       15.5351047221
  3       16.5211953198       15.8266389146       16.1245198064
  2       17.2429028095       15.1357495185       16.7139348908
  2       24.1578812045       24.9800315420       29.6264104871
  3       25.2551592952       24.6592282914       29.8230473760
  2       26.3524373859       24.3384250408       30.0196842650
  2       27.5572215783       18.2922989853        8.9210262406
  3       28.3726806310       18.6765445370        9.6510823270
  2       29.1881396839       19.0607900888       10.3811384133
  2        6.8281393263       22.0020988177        9.5881894546
  3        6.3005459590       21.7152476865        8.5957371044
  2        5.7729525917       21.4283965553        7.6032847542
  2        4.4163194284        3.6242585358       14.5075575021
  3        3.6461334202        4.3899396276       14.9151675838
  2        2.8759474120        5.1556207192       15.3227776654
  2       27.1617563350        4.5366627207        7.4338478573
  3       27.9081666784        5.3648680760        7.1136174888
  2       28.6545770218        6.1930734311        6.7933871204
  2       26.3064712791       25.1728508452       16.1999873220
  3       26.7978575569       26.0583870089       15.6343326314
  2       27.2892438347       26.9439231725       15.0686779409
  2        1.9038065615       31.2868820342        6.2716568721
  3        2.4811444053       32.0811949412        5.6541230514
  2        3.0584822492       32.8755078483        5.0365892307
  2        8.1975669145       12.3274731295       26.0878835363
  3        7.3842243476       11.5890855525       25.7152474472
  2        6.5708817807       10.8506979755       25.3426113581
  2       17.8273387516        3.4603804769       29.9588021874
  3       17.7432922356        2.9836371296       31.0129615511
  2       17.6592457196        2.5068937826       32.0671209148
  2       14.6634176598       19.6310299150       15.3274787613
  3       13.7224382808       19.4720182374       15.9869278457
  2       12.7814589020       19.3130065598       16.6463769301
  2        5.8924614475       32.3459775773       17.0263856457
  3        4.9526326172       32.7574367248       16.4850695275
  2        4.0128037869       33.1688958722       15.9437534094
  2       21.7717668386       19.3481124506        8.7976323937
  3       20.9432677695       20.1592747818        8.7629197898
  2       20.1147687004       20.9704371130        8.7282071859
  2       10.7005746592       12.0635003127       20.2262663530
  3       11.7230952510       12.4804999570       20.5814605760
  2       12.7456158428       12.8974996012       20.9366547990
  2       23.8631320024       33.1163895434       16.9917794380
  3       24.4740676817       32.7938223474       17.9236098946
  2       25.0850033609       32.4712551514       18.8554403512
  2        7.9411051915       20.4207851843       33.6516904682
  3        7.6813945928       20.6370973832       32.5420241051
  2        7.4216839939       20.8534095821       31.4323577420
  2       19.6677390689        4.7999671367        7.3752646119
  3       18.5374254366        4.8576101723        7.1209648420
  2       17.4071118043        4.9152532078        6.8666650720
  2        9.1558890568       31.6860341283        3.3183871895
  3        8.7867226228       30.8238940037        4.0010514917
  2        8.4175561887       29.9617538790        4.6837157937
  2       -0.1408642186       29.2444880087       32.0140960138
  3        0.4055488191       28.4763262797       32.6900844385
  2        0.9519618570       27.7081645508       33.3660728632
  2        2.3827821374        3.8406151958       18.8905566913
  3        1.4255129479        4.4957027659       18.8807600388
  2        0.4682437584        5.1507903359       18.8709633862
  2       29.9194952082       31.9590684923       21.2232185662
  3       28.7831689579       31.9260373748       20.9924121582
  2       27.6468427075       31.8930062574       20.7616057501
  2       25.6133811643       -0.4719226113       22.8499554215
  3       25.7464936402        0.5185116776       22.2609554316
  2       25.8796061162        1.5089459665       21.6719554416
  2       27.0570806667       18.9601753656       18.1574083494
  3       26.3460693458       18.5856138796       17.3208878208
  2       25.6350580247       18.2110523937       16.4843672924
  2        5.8354581176       28.7815111323       30.2992245536
  3        4.9820820745       29.5199537618       30.0307998681
  2        4.1287060313       30.2583963915       29.7623751825
  2        9.2508980799       26.6260080725       19.7414789906
  3        9.3957660053       26.6578805010       18.5910019451
  2        9.5406339307       26.6897529294       17.4405248995
  2       22.9301065219       26.2429595704       19.0745970733
  3       22.0946988602       27.0062561740       19.3296898670
  2       21.2592911984       27.7695527777       19.5847826609
  2       28.0950581331       22.0253938678       15.1572245721
  3       28.1294749270       20.8720946033       15.0375738694
  2       28.1638917209       19.7187953387       14.9179231667
  2       12.4299205745       20.5954488874       24.4084921919
  3       11.9173638573       19.7028740683       23.8735194786
  2       11.4048071402       18.8102992491       23.3385467653
  2       24.9849576097       11.8458573367       15.2775183120
  3       23.8938347024       11.6200782739       15.6001242880
  2       22.8027117950       11.3942992110       15.9227302640
  2       -0.9459155624       10.3579947148       28.3000301643
  3        0.1557010100       10.0244218027       28.1559120194
  2        1.2573175824        9.6908488906       28.0117938746
  2        5.8462945230        2.2976576741        3.7924129642
  3        5.9922655060        1.2501757883        4.2689359659
  2        6.1382364891        0.2026939027        4.7454589678
  2        7.0304329837       18.8405504826       19.0339158089
  3        6.1292411263       18.5739604692       19.7139033095
  2        5.2280492689       18.3073704557       20.3938908101
  2       22.6494551256       12.4267262493        8.6872691352
  3       23.3004252237       13.3744592576        8.8410224319
  2       23.9513953219       14.3221922659        8.9947757286
  2       18.5835471829       10.4648928784        2.1629869065
  3       17.7799514494        9.6290376856        2.1973379406
  2       16.9763557158        8.7931824927        2.2316889748
  2       22.3818041480       18.8446505937       28.2584866866
  3       23.4520284837       19.0275074437       28.6668777293
  2       24.5222528194       19.2103642939       29.0752687720
  2       31.0659497258        8.5146459040        7.1314263308
  3       31.1611545280        7.4467594644        7.5743197690
  2       31.2563593302        6.3788730247        8.0172132072
  2        5.8562552983       13.5333919107       24.7842406927
  3        4.9123338972       13.8810775401       25.3619318657
  2        3.9684124960       14.2287631697       25.9396230388
  2       32.6662272164       23.4676745380       27.8916177460
  3       31.9017320094       22.6332360727       28.1462930807
  2       31.1372368023       21.7987976074       28.4009684155
  2        2.4012052167       27.3329854751       25.9310833676
  3        2.8421443020       27.2612077943       27.0016069253
  2        3.2830833872       27.1894301133       28.0721304830
  2       31.2918039121        5.0959013019       28.7105171191
  3       31.6428218433        6.2015166681       28.7115534206
  2       31.9938397743        7.3071320344       28.7125897223
  2       14.9145555603        5.5816158108       20.8402335493
  3       15.6909310589        5.2596621528       20.0407418812
  2       16.4673065575        4.9377084950       19.2412502131
  2       17.5378244479       32.7702584759       14.5316023115
  3       18.0855244833       31.7623601768       14.7041296711
  2       18.6332245187       30.7544618777       14.8766570306
  2       23.0242015346        9.3853676405       22.3381047144
  3       23.5295387362        9.9007742575       21.4300351510
  2       24.0348759380       10.4161808744       20.5219655877
  2       21.4812801643       26.2247958298       14.3921971825
  3       21.1060745464       26.1126477353       15.4840962388
  2       20.7308689285       26.0004996407       16.5759952951
  2       24.6901017024       29.9151471279        0.2274042007
  3       25.6396059318       29.6365252613        0.8327235991
  2       26.5891101611       29.3579033947        1.4380429974
  2        0.0392314880       11.8703804130       16.8244174720
  3        0.4852563784       12.3332237286       17.7900456936
