Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  21 hours
11-09-2023 19:19      2%    2 days and  21 hours
11-09-2023 20:00      3%    2 days and  20 hours
11-09-2023 20:41      4%    2 days and  19 hours
11-09-2023 21:23      5%    2 days and  18 hours
11-09-2023 22:05      6%    2 days and  17 hours
11-09-2023 22:47      7%    2 days and  17 hours
11-09-2023 23:28      8%    2 days and  16 hours
12-09-2023 00:11      9%    2 days and  16 hours
12-09-2023 00:53     10%    2 days and  15 hours
12-09-2023 01:35     11%    2 days and  14 hours
12-09-2023 02:18     12%    2 days and  14 hours
12-09-2023 03:01     13%    2 days and  13 hours
12-09-2023 03:44     14%    2 days and  12 hours
12-09-2023 04:27     15%    2 days and  12 hours
12-09-2023 05:10     16%    2 days and  11 hours
12-09-2023 05:52     17%    2 days and  11 hours
12-09-2023 06:35     18%    2 days and  10 hours
12-09-2023 07:19     19%    2 days and   9 hours
12-09-2023 08:03     20%    2 days and   9 hours
12-09-2023 08:47     21%    2 days and   8 hours
12-09-2023 09:32     22%    2 days and   8 hours
12-09-2023 10:18     23%    2 days and   7 hours
12-09-2023 11:05     24%    2 days and   7 hours
12-09-2023 11:51     25%    2 days and   6 hours
12-09-2023 12:37     26%    2 days and   5 hours
12-09-2023 13:23     27%    2 days and   5 hours
12-09-2023 14:09     28%    2 days and   4 hours
12-09-2023 14:56     29%    2 days and   4 hours
12-09-2023 15:45     30%    2 days and   3 hours
12-09-2023 16:34     31%    2 days and   3 hours
12-09-2023 17:22     32%    2 days and   2 hours
12-09-2023 18:12     33%    2 days and   2 hours
12-09-2023 19:02     34%    2 days and   1 hours
12-09-2023 19:53     35%    1 days and  24 hours
12-09-2023 20:45     36%    1 days and  24 hours
12-09-2023 21:39     37%    1 days and  23 hours
12-09-2023 22:32     38%    1 days and  23 hours
12-09-2023 23:25     39%    1 days and  22 hours
13-09-2023 00:18     40%    1 days and  22 hours
13-09-2023 01:13     41%    1 days and  21 hours
