Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    31.927865   76.184160

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7077224279E+000   0.1114207969E+001
Box 2    0.3670782736E+002   0.3676049905E+002

Rotation per molecule type
Box 1    0.4211495280E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.6764412135E+003
Box 2   0.2965572976E+005

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 449   
Atomtype         X                  Y                   Z
  2       27.2558667183       10.7550248317       21.9046101094
  3       27.6368176573       11.5854826833       21.1898960835
  2       28.0177685964       12.4159405348       20.4751820576
  2        2.5880113713       18.2296911801       13.4888173757
  3        2.7564856575       17.1399127318       13.8488164712
  2        2.9249599438       16.0501342836       14.2088155666
  2       20.6048179025       15.4908710906       19.8905776189
  3       20.5942717393       16.6152536080       20.1756262692
  2       20.5837255762       17.7396361254       20.4606749196
  2       13.0432278214       29.7931181661       17.6406553835
  3       12.1186766297       30.2017767133       18.2096925402
  2       11.1941254380       30.6104352606       18.7787296969
  2        5.7744218874       29.3142764765        2.5696182175
  3        5.5518166744       29.0119331756        3.6671770759
  2        5.3292114615       28.7095898747        4.7647359342
  2       17.7548654230        2.2782002547        5.6269931033
  3       17.5557046966        1.1512631092        5.4373943820
  2       17.3565439701        0.0243259637        5.2477956606
  2       24.1351919518       10.0238376835       20.4573206238
  3       24.0030143585       10.5299368092       19.4219497923
  2       23.8708367651       11.0360359349       18.3865789606
  2       25.0540467834        1.1470935623        3.0051596714
  3       24.1641627095        1.7572643828        2.5792513422
  2       23.2742786357        2.3674352032        2.1533430129
  2       15.4532744849       29.4107474426       30.6070081359
  3       14.3431661087       29.0962253085       30.4872783552
  2       13.2330577326       28.7817031743       30.3675485745
  2       23.7261948505        4.2797718562       10.8255574970
  3       22.7581782209        4.0414995851       11.4186596211
  2       21.7901615912        3.8032273142       12.0117617453
  2       30.9775024327       27.5529744864        3.0191672297
  3       30.1517304303       27.5826071056        3.8333063503
  2       29.3259584277       27.6122397247        4.6474454709
  2       13.5494862419       22.7623626716        3.9625762148
  3       13.0004685561       23.7250635450        3.6199589224
  2       12.4514508703       24.6877644184        3.2773416301
  2       20.2921896667       10.7426451661       22.9055998065
  3       19.2159043492       10.6407406943       22.4850936901
  2       18.1396190316       10.5388362226       22.0645875738
  2       -0.3888876498       11.0532668951       24.9950039683
  3        0.7266035659       10.7361493648       25.0217587744
  2        1.8420947816       10.4190318344       25.0485135806
  2        0.2969068036       15.6498788821        7.8041665766
  3        0.8328704063       14.6923180983        8.1802255640
  2        1.3688340090       13.7347573146        8.5562845515
  2       16.4009872932       15.9513715200       14.3455427694
  3       15.6517416232       16.0230749433       15.2282032620
  2       14.9024959531       16.0947783663       16.1108637545
  2       21.7762287420       22.0917652043       27.3244888392
