Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    33.140525   67.207068

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7041234374E+000   0.1182510096E+001
Box 2    0.1437704079E+002   0.3515690626E+002

Rotation per molecule type
Box 1    0.4205028373E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.6897595570E+003
Box 2   0.2125244809E+005

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 479   
Atomtype         X                  Y                   Z
  2       23.0789871890       22.3155301777        4.4886891755
  3       22.1855903817       22.0541712128        5.1808839718
  2       21.2921935743       21.7928122478        5.8730787682
  2       22.5475172069       23.9002425345        1.0201020889
  3       22.6640474914       23.1570182207        0.1371307915
  2       22.7805777759       22.4137939070       -0.7458405059
  2       27.7656095265       25.8631948034        6.6963035738
  3       27.4878097311       25.2810847119        7.6604483322
  2       27.2100099358       24.6989746203        8.6245930905
  2       21.1834263391       20.2846180322        8.9921192666
  3       21.8839027307       19.8395191676        8.1816750515
  2       22.5843791222       19.3944203031        7.3712308366
  2       23.9293377089       11.6383086860       10.4831496692
  3       23.1654822200       12.4710791689       10.2211990728
  2       22.4016267312       13.3038496518        9.9592484765
  2       21.9602261701        3.3560666063       19.3504214256
  3       21.8632608524        2.9398745794       18.2720050292
  2       21.7662955348        2.5236825525       17.1935886329
  2       11.9758004953       27.1715861888       25.8108317150
  3       12.7469791727       27.9417351885       26.2080142495
  2       13.5181578500       28.7118841882       26.6051967841
  2        9.6975846756       28.5367625702       17.4310613682
  3       10.3739090027       28.4172659480       16.4962319925
  2       11.0502333297       28.2977693258       15.5614026166
  2       28.8505422455        5.2914994278       25.0075436395
  3       28.1564332038        4.7073676713       24.2846309689
  2       27.4623241621        4.1232359148       23.5617182984
  2        4.2518339393       14.2381501403       12.6124241871
  3        3.9616607630       14.3726016040       11.4973805415
  2        3.6714875866       14.5070530679       10.3823368959
  2        0.3548481705       22.5981357539        8.9533112704
  3        1.4391038199       22.5677005887        9.3644844546
  2        2.5233594694       22.5372654234        9.7756576389
  2        4.4734528956        4.3579346867       23.7775023946
  3        5.4955303121        4.3653847976       24.3260479719
