Mole Fraction (Carbon dioxide)
Pressure (bar)
LIN
LIN
 0,25  1 
 0  200 
6.1 6.1
 0,25  5 
 10  5 
0.99999999995736            19.605336222697             0,1,0,0,0;Liquid Isotherm T=253.0
0.99999999984009            19.605336280976             1
0.99999997749530            19.605347386415             1
0.99999957361887            19.605548114449             1
0.99999718593324            19.606734804552             1
0.99998956180654            19.610524048683             1
0.99997224691396            19.619129784567             1
0.99994021746462            19.635049266833             1
0.99988832308323            19.660843267479             1
0.99981149472361            19.699033150383             1
0.99970480126306            19.752073189973             1
0.99956342357821            19.822363871290             1
0.99938258568601            19.912286421825             1
0.99918151327915            20.012286467518             1
0.99898047149206            20.112286513012             1
0.99877945751799            20.212286558501             1
0.99857846864051            20.312286604013             1
0.99837750222918            20.412286649581             1
0.99817655573565            20.512286695198             1
0.99797562669003            20.612286740878             1
0.99777471269734            20.712286786619             1
0.99757381143432            20.812286832422             1
0.99737292064631            20.912286878282             1
0.99717203814432            21.012286924205             1
0.99697116180227            21.112286970190             1
0.99616767757075            21.512287154698             1
0.99496230956058            22.112287433181             1
0.99375645115356            22.712287713640             1
0.99254978789961            23.312287996016             1
0.99134204638056            23.912288280261             1
0.99013298663241            24.512288566344             1
0.98892239629436            25.112288854241             1
0.98771008601957            25.712289143939             1
0.98649588582373            26.312289435436             1
0.98527964214157            26.912289728718             1
0.98406121542641            27.512290023803             1
0.98284047817193            28.112290320691             1
0.98161731326674            28.712290619394             1
0.98039161261433            29.312290919927             1
0.97916327596709            29.912291222298             1
0.97793220993454            30.512291526537             1
0.97669832713478            31.112291832647             1
0.97546154546442            31.712292140668             1
0.97422178746750            32.312292450606             1
0.97297897978733            32.912292762496             1
0.97173305268848            33.512293076357             1
0.97048393963828            34.112293392212             1
0.96923157693905            34.712293710091             1
0.96797590340381            35.312294030023             1
0.96671686006946            35.912294352038             1
0.96545438994217            36.512294676154             1
0.96418843777078            37.112295002407             1
0.96291894984455            37.712295330829             1
0.96164587381208            38.312295661446             1
0.96036915851867            38.912295994298             1
0.95908875386006            39.512296329411             1
0.95780461065028            40.112296666810             1
0.95651668050211            40.712297006544             1
0.95522491571857            41.312297348636             1
0.95392926919422            41.912297693125             1
0.95262969432508            42.512298040042             1
0.95132614492616            43.112298389431             1
0.95001857515594            43.712298741322             1
0.94870693944674            44.312299095759             1
0.94739119244059            44.912299452770             1
0.94607128892980            45.512299812399             1
0.94474718380192            46.112300174692             1
0.94341883198840            46.712300539680             1
0.94208618841671            47.312300907408             1
0.94074920796552            47.912301277915             1
0.93940784542252            48.512301651254             1
0.93806205544478            49.112302027456             1
0.93671179252113            49.712302406570             1
0.93535701093659            50.312302788645             1
0.93399766473847            50.912303173723             1
0.93263370770394            51.512303561856             1
0.93126509330909            52.112303953086             1
0.92989177469903            52.712304347472             1
0.92851370465918            53.312304745055             1
0.92713083558742            53.912305145887             1
0.92574311946703            54.512305550026             1
0.92435050784041            55.112305957526             1
0.92295295178333            55.712306368443             1
0.92155040187971            56.312306782824             1
0.92014280819686            56.912307200738             1
0.91873012026102            57.512307622234             1
0.91731228703321            58.112308047380             1
0.91588925688526            58.712308476237             1
0.91446097757601            59.312308908865             1
0.91302739622757            59.912309345329             1
0.91158845930163            60.512309785698             1
0.91014411257570            61.112310230034             1
0.90869430111933            61.712310678412             1
0.90723896927015            62.312311130904             1
0.90577806060978            62.912311587576             1
0.90431151793943            63.512312048509             1
0.90283928325536            64.112312513782             1
0.90136129772396            64.712312983463             1
0.89987750165641            65.312313457640             1
0.89838783448310            65.912313936396             1
0.89689223472751            66.512314419810             1
0.89539063997958            67.112314907978             1
0.89388298686867            67.712315400985             1
0.89236921103589            68.312315898920             1
0.89084924710583            68.912316401879             1
0.88932302865765            69.512316909958             1
0.88779048819552            70.112317423258             1
0.88625155467110            70.712286283980             1
0.88470616568824            71.312318465932             1
0.88315424299956            71.912318995516             1
0.88159571694516            72.512319530752             1
0.88003051418315            73.112320071744             1
0.87845855717128            73.712286283981             1
0.87687977878584            74.312321171483             1
0.87529409297574            74.912321730474             1
0.87370142403383            75.512322295719             1
0.87210169190331            76.112322867346             1
0.87049481157011            76.712286283981             1
0.86888070688950            77.312286283982             1
0.86725928992403            77.912286283982             1
0.86563047841074            78.512325220461             1
0.86399417291311            79.112286283980             1
0.86235029562326            79.712286283982             1
0.86069875146324            80.312286283981             1
0.85903944745906            80.912286283980             1
0.85737228880309            81.512286283983             1
0.85569717879958            82.112286283979             1
0.85401401880807            82.712286283981             1
0.85232270818485            83.312286283980             1
0.85062314422210            83.912286283983             1
0.84891522208476            84.512286283982             1
0.84719883474496            85.112286283981             1
0.84547387291394            85.712286283982             1
0.84374022497121            86.312286283981             1
0.84199777689096            86.912286283981             1
0.84024641216545            87.512286283982             1
0.83848601845997            88.112335884849             1
0.83671646082550            88.712336629737             1
0.83493762132551            89.312337385282             1
0.83314937269397            89.912338151763             1
0.83135158474972            90.512338929476             1
0.82954412429836            91.112339718723             1
0.82772685503003            91.712340519821             1
0.82589963741253            92.312341333097             1
0.82406232857974            92.912342158890             1
0.82221478221497            93.512342997559             1
0.82035684842896            94.112343849467             1
0.81848837363223            94.712344715002             1
0.81660920040151            95.312345594563             1
0.81471916733973            95.912346488569             1
0.81281810892939            96.512347397449             1
0.81090585537872            97.112348321661             1
0.80898223246036            97.712349261675             1
0.80704706134192            98.312350217982             1
0.80510015840807            98.912351191104             1
0.80314133507350            99.512352181573             1
0.80117039758625            100.11235318996             1
0.79918714682067            100.71235421684             1
0.79719137805945            101.31235526285             1
