Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  21 hours
11-09-2023 19:19      2%    2 days and  21 hours
11-09-2023 20:00      3%    2 days and  20 hours
11-09-2023 20:42      4%    2 days and  19 hours
11-09-2023 21:24      5%    2 days and  18 hours
11-09-2023 22:05      6%    2 days and  18 hours
11-09-2023 22:47      7%    2 days and  17 hours
11-09-2023 23:30      8%    2 days and  16 hours
12-09-2023 00:13      9%    2 days and  16 hours
12-09-2023 00:56     10%    2 days and  15 hours
12-09-2023 01:39     11%    2 days and  15 hours
12-09-2023 02:22     12%    2 days and  14 hours
12-09-2023 03:04     13%    2 days and  13 hours
12-09-2023 03:48     14%    2 days and  13 hours
12-09-2023 04:31     15%    2 days and  12 hours
12-09-2023 05:14     16%    2 days and  12 hours
12-09-2023 05:57     17%    2 days and  11 hours
12-09-2023 06:39     18%    2 days and  10 hours
12-09-2023 07:21     19%    2 days and   9 hours
12-09-2023 08:03     20%    2 days and   9 hours
12-09-2023 08:45     21%    2 days and   8 hours
12-09-2023 09:27     22%    2 days and   7 hours
12-09-2023 10:08     23%    2 days and   7 hours
12-09-2023 10:50     24%    2 days and   6 hours
12-09-2023 11:31     25%    2 days and   5 hours
12-09-2023 12:13     26%    2 days and   4 hours
12-09-2023 12:55     27%    2 days and   4 hours
12-09-2023 13:37     28%    2 days and   3 hours
12-09-2023 14:19     29%    2 days and   2 hours
12-09-2023 15:01     30%    2 days and   1 hours
12-09-2023 15:44     31%    2 days and   1 hours
12-09-2023 16:27     32%    1 days and  24 hours
12-09-2023 17:10     33%    1 days and  23 hours
12-09-2023 17:53     34%    1 days and  23 hours
12-09-2023 18:36     35%    1 days and  22 hours
12-09-2023 19:19     36%    1 days and  21 hours
12-09-2023 20:03     37%    1 days and  21 hours
12-09-2023 20:47     38%    1 days and  20 hours
12-09-2023 21:31     39%    1 days and  19 hours
12-09-2023 22:14     40%    1 days and  19 hours
12-09-2023 22:57     41%    1 days and  18 hours
12-09-2023 23:40     42%    1 days and  17 hours
13-09-2023 00:24     43%    1 days and  17 hours
13-09-2023 01:07     44%    1 days and  16 hours
13-09-2023 01:51     45%    1 days and  15 hours
13-09-2023 02:36     46%    1 days and  15 hours
13-09-2023 03:20     47%    1 days and  14 hours
13-09-2023 04:04     48%    1 days and  13 hours
13-09-2023 04:50     49%    1 days and  13 hours
13-09-2023 05:37     50%    1 days and  12 hours
13-09-2023 06:26     51%    1 days and  11 hours
13-09-2023 07:13     52%    1 days and  11 hours
13-09-2023 08:02     53%    1 days and  10 hours
13-09-2023 08:51     54%    1 days and  10 hours
13-09-2023 09:41     55%    1 days and   9 hours
13-09-2023 10:29     56%    1 days and   8 hours
13-09-2023 11:21     57%    1 days and   8 hours
13-09-2023 12:14     58%    1 days and   7 hours
13-09-2023 13:06     59%    1 days and   6 hours
13-09-2023 13:59     60%    1 days and   6 hours
13-09-2023 14:53     61%    1 days and   5 hours
13-09-2023 15:49     62%    1 days and   5 hours
