Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  20 hours
11-09-2023 19:18      2%    2 days and  20 hours
11-09-2023 19:59      3%    2 days and  19 hours
11-09-2023 20:41      4%    2 days and  19 hours
11-09-2023 21:24      5%    2 days and  18 hours
11-09-2023 22:05      6%    2 days and  18 hours
11-09-2023 22:47      7%    2 days and  17 hours
11-09-2023 23:29      8%    2 days and  16 hours
12-09-2023 00:10      9%    2 days and  15 hours
12-09-2023 00:52     10%    2 days and  15 hours
12-09-2023 01:33     11%    2 days and  14 hours
12-09-2023 02:14     12%    2 days and  13 hours
12-09-2023 02:55     13%    2 days and  13 hours
12-09-2023 03:37     14%    2 days and  12 hours
12-09-2023 04:18     15%    2 days and  11 hours
12-09-2023 04:59     16%    2 days and  10 hours
12-09-2023 05:41     17%    2 days and  10 hours
12-09-2023 06:22     18%    2 days and   9 hours
12-09-2023 07:03     19%    2 days and   8 hours
12-09-2023 07:44     20%    2 days and   7 hours
12-09-2023 08:25     21%    2 days and   7 hours
12-09-2023 09:07     22%    2 days and   6 hours
12-09-2023 09:49     23%    2 days and   5 hours
12-09-2023 10:31     24%    2 days and   5 hours
12-09-2023 11:12     25%    2 days and   4 hours
12-09-2023 11:54     26%    2 days and   3 hours
12-09-2023 12:35     27%    2 days and   3 hours
12-09-2023 13:16     28%    2 days and   2 hours
12-09-2023 13:57     29%    2 days and   1 hours
12-09-2023 14:39     30%    2 days and   1 hours
12-09-2023 15:20     31%    1 days and  24 hours
12-09-2023 16:02     32%    1 days and  23 hours
12-09-2023 16:43     33%    1 days and  23 hours
12-09-2023 17:24     34%    1 days and  22 hours
12-09-2023 18:06     35%    1 days and  21 hours
12-09-2023 18:47     36%    1 days and  20 hours
12-09-2023 19:29     37%    1 days and  20 hours
12-09-2023 20:11     38%    1 days and  19 hours
12-09-2023 20:52     39%    1 days and  18 hours
12-09-2023 21:34     40%    1 days and  18 hours
12-09-2023 22:15     41%    1 days and  17 hours
12-09-2023 22:57     42%    1 days and  16 hours
12-09-2023 23:40     43%    1 days and  16 hours
13-09-2023 00:23     44%    1 days and  15 hours
13-09-2023 01:06     45%    1 days and  14 hours
13-09-2023 01:49     46%    1 days and  14 hours
13-09-2023 02:32     47%    1 days and  13 hours
13-09-2023 03:16     48%    1 days and  12 hours
13-09-2023 03:59     49%    1 days and  12 hours
13-09-2023 04:42     50%    1 days and  11 hours
13-09-2023 05:24     51%    1 days and  10 hours
13-09-2023 06:07     52%    1 days and  10 hours
13-09-2023 06:50     53%    1 days and   9 hours
13-09-2023 07:33     54%    1 days and   8 hours
13-09-2023 08:16     55%    1 days and   8 hours
13-09-2023 09:00     56%    1 days and   7 hours
13-09-2023 09:44     57%    1 days and   6 hours
13-09-2023 10:28     58%    1 days and   6 hours
13-09-2023 11:11     59%    1 days and   5 hours
13-09-2023 11:54     60%    1 days and   4 hours
13-09-2023 12:38     61%    1 days and   4 hours
13-09-2023 13:24     62%    1 days and   3 hours
13-09-2023 14:09     63%    1 days and   2 hours
13-09-2023 14:56     64%    1 days and   2 hours
13-09-2023 15:44     65%    1 days and   1 hours
13-09-2023 16:33     66%   23 hours and  55 minutes
13-09-2023 17:23     67%   23 hours and  16 minutes
13-09-2023 18:12     68%   22 hours and  37 minutes
13-09-2023 19:02     69%   21 hours and  58 minutes
13-09-2023 19:53     70%   21 hours and  19 minutes
13-09-2023 20:43     71%   20 hours and  39 minutes
13-09-2023 21:32     72%   19 hours and  59 minutes
13-09-2023 22:25     73%   19 hours and  20 minutes
