Date and Time     Completed      Estimated Time Left
11-09-2023 18:39      1%    2 days and  23 hours
11-09-2023 19:22      2%    2 days and  22 hours
11-09-2023 20:05      3%    2 days and  21 hours
11-09-2023 20:48      4%    2 days and  21 hours
11-09-2023 21:31      5%    2 days and  20 hours
11-09-2023 22:15      6%    2 days and  20 hours
11-09-2023 22:59      7%    2 days and  19 hours
11-09-2023 23:42      8%    2 days and  18 hours
12-09-2023 00:28      9%    2 days and  18 hours
12-09-2023 01:13     10%    2 days and  18 hours
12-09-2023 01:59     11%    2 days and  17 hours
12-09-2023 02:47     12%    2 days and  17 hours
12-09-2023 03:35     13%    2 days and  17 hours
12-09-2023 04:25     14%    2 days and  16 hours
12-09-2023 05:13     15%    2 days and  16 hours
12-09-2023 06:02     16%    2 days and  16 hours
12-09-2023 06:55     17%    2 days and  15 hours
12-09-2023 07:51     18%    2 days and  15 hours
