Date and Time     Completed      Estimated Time Left
11-09-2023 18:39      1%    2 days and  23 hours
11-09-2023 19:22      2%    2 days and  22 hours
11-09-2023 20:05      3%    2 days and  22 hours
11-09-2023 20:50      4%    2 days and  22 hours
11-09-2023 21:36      5%    2 days and  22 hours
11-09-2023 22:20      6%    2 days and  21 hours
11-09-2023 23:05      7%    2 days and  20 hours
11-09-2023 23:51      8%    2 days and  20 hours
12-09-2023 00:38      9%    2 days and  20 hours
12-09-2023 01:25     10%    2 days and  19 hours
12-09-2023 02:14     11%    2 days and  19 hours
12-09-2023 03:03     12%    2 days and  19 hours
12-09-2023 03:54     13%    2 days and  19 hours
12-09-2023 04:44     14%    2 days and  18 hours
12-09-2023 05:36     15%    2 days and  18 hours
12-09-2023 06:30     16%    2 days and  18 hours
12-09-2023 07:24     17%    2 days and  18 hours
