Date and Time     Completed      Estimated Time Left
11-09-2023 17:34      1%   17 hours and  54 minutes
11-09-2023 17:45      2%   17 hours and  49 minutes
11-09-2023 17:56      3%   17 hours and  39 minutes
11-09-2023 18:07      4%   17 hours and  29 minutes
11-09-2023 18:18      5%   17 hours and  18 minutes
11-09-2023 18:29      6%   17 hours and   8 minutes
11-09-2023 18:40      7%   16 hours and  55 minutes
11-09-2023 18:51      8%   16 hours and  44 minutes
11-09-2023 19:02      9%   16 hours and  33 minutes
11-09-2023 19:13     10%   16 hours and  23 minutes
11-09-2023 19:24     11%   16 hours and  13 minutes
11-09-2023 19:35     12%   16 hours and   2 minutes
11-09-2023 19:46     13%   15 hours and  51 minutes
11-09-2023 19:57     14%   15 hours and  40 minutes
11-09-2023 20:08     15%   15 hours and  29 minutes
11-09-2023 20:19     16%   15 hours and  18 minutes
11-09-2023 20:30     17%   15 hours and   7 minutes
11-09-2023 20:41     18%   14 hours and  55 minutes
11-09-2023 20:52     19%   14 hours and  44 minutes
11-09-2023 21:03     20%   14 hours and  33 minutes
11-09-2023 21:14     21%   14 hours and  22 minutes
11-09-2023 21:25     22%   14 hours and  11 minutes
11-09-2023 21:36     23%   14 hours and   0 minutes
11-09-2023 21:47     24%   13 hours and  49 minutes
11-09-2023 21:58     25%   13 hours and  38 minutes
11-09-2023 22:08     26%   13 hours and  26 minutes
11-09-2023 22:19     27%   13 hours and  15 minutes
11-09-2023 22:30     28%   13 hours and   4 minutes
11-09-2023 22:41     29%   12 hours and  53 minutes
11-09-2023 22:52     30%   12 hours and  42 minutes
11-09-2023 23:03     31%   12 hours and  31 minutes
11-09-2023 23:14     32%   12 hours and  20 minutes
11-09-2023 23:25     33%   12 hours and   9 minutes
11-09-2023 23:36     34%   11 hours and  58 minutes
11-09-2023 23:47     35%   11 hours and  47 minutes
11-09-2023 23:58     36%   11 hours and  36 minutes
12-09-2023 00:09     37%   11 hours and  26 minutes
12-09-2023 00:20     38%   11 hours and  15 minutes
12-09-2023 00:30     39%   11 hours and   4 minutes
12-09-2023 00:41     40%   10 hours and  53 minutes
12-09-2023 00:52     41%   10 hours and  42 minutes
12-09-2023 01:03     42%   10 hours and  31 minutes
12-09-2023 01:14     43%   10 hours and  20 minutes
12-09-2023 01:25     44%   10 hours and   9 minutes
12-09-2023 01:36     45%    9 hours and  58 minutes
12-09-2023 01:47     46%    9 hours and  47 minutes
12-09-2023 01:58     47%    9 hours and  36 minutes
12-09-2023 02:09     48%    9 hours and  25 minutes
12-09-2023 02:19     49%    9 hours and  14 minutes
12-09-2023 02:30     50%    9 hours and   3 minutes
12-09-2023 02:41     51%    8 hours and  52 minutes
12-09-2023 02:52     52%    8 hours and  41 minutes
12-09-2023 03:03     53%    8 hours and  31 minutes
12-09-2023 03:14     54%    8 hours and  20 minutes
12-09-2023 03:25     55%    8 hours and   9 minutes
12-09-2023 03:36     56%    7 hours and  58 minutes
12-09-2023 03:47     57%    7 hours and  47 minutes
12-09-2023 03:58     58%    7 hours and  36 minutes
12-09-2023 04:09     59%    7 hours and  25 minutes
12-09-2023 04:20     60%    7 hours and  15 minutes
12-09-2023 04:31     61%    7 hours and   4 minutes
12-09-2023 04:42     62%    6 hours and  53 minutes
12-09-2023 04:53     63%    6 hours and  42 minutes
12-09-2023 05:04     64%    6 hours and  31 minutes
12-09-2023 05:15     65%    6 hours and  20 minutes
12-09-2023 05:26     66%    6 hours and  10 minutes
12-09-2023 05:37     67%    5 hours and  59 minutes
12-09-2023 05:49     68%    5 hours and  48 minutes
12-09-2023 06:00     69%    5 hours and  37 minutes
12-09-2023 06:11     70%    5 hours and  26 minutes
12-09-2023 06:22     71%    5 hours and  16 minutes
12-09-2023 06:33     72%    5 hours and   5 minutes
12-09-2023 06:44     73%    4 hours and  54 minutes
12-09-2023 06:56     74%    4 hours and  43 minutes
12-09-2023 07:07     75%    4 hours and  32 minutes
12-09-2023 07:18     76%    4 hours and  21 minutes
12-09-2023 07:29     77%    4 hours and  10 minutes
12-09-2023 07:40     78%    4 hours and   0 minutes
12-09-2023 07:51     79%    3 hours and  49 minutes
12-09-2023 08:02     80%    3 hours and  38 minutes
12-09-2023 08:13     81%    3 hours and  27 minutes
12-09-2023 08:25     82%    3 hours and  16 minutes
12-09-2023 08:36     83%    3 hours and   5 minutes
12-09-2023 08:47     84%    2 hours and  54 minutes
12-09-2023 08:58     85%    2 hours and  43 minutes
12-09-2023 09:09     86%    2 hours and  32 minutes
12-09-2023 09:20     87%    2 hours and  21 minutes
12-09-2023 09:31     88%    2 hours and  11 minutes
12-09-2023 09:42     89%    2 hours and   0 minutes
12-09-2023 09:53     90%    1 hours and  49 minutes
12-09-2023 10:04     91%    1 hours and  38 minutes
12-09-2023 10:15     92%    1 hours and  27 minutes
12-09-2023 10:26     93%    1 hours and  16 minutes
12-09-2023 10:37     94%    1 hours and   5 minutes
12-09-2023 10:48     95%   54 minutes and 38 seconds
12-09-2023 10:59     96%   43 minutes and 42 seconds
12-09-2023 11:10     97%   32 minutes and 47 seconds
12-09-2023 11:21     98%   21 minutes and 51 seconds
12-09-2023 11:32     99%   10 minutes and 55 seconds
12-09-2023 11:43    100%    0 minutes and  0 seconds
