Date and Time     Completed      Estimated Time Left
11-09-2023 18:37      1%    2 days and  21 hours
11-09-2023 19:20      2%    2 days and  21 hours
11-09-2023 20:03      3%    2 days and  21 hours
11-09-2023 20:47      4%    2 days and  21 hours
11-09-2023 21:31      5%    2 days and  20 hours
11-09-2023 22:15      6%    2 days and  20 hours
11-09-2023 23:00      7%    2 days and  19 hours
11-09-2023 23:44      8%    2 days and  19 hours
12-09-2023 00:30      9%    2 days and  18 hours
12-09-2023 01:15     10%    2 days and  18 hours
12-09-2023 01:59     11%    2 days and  17 hours
12-09-2023 02:44     12%    2 days and  17 hours
12-09-2023 03:30     13%    2 days and  16 hours
12-09-2023 04:16     14%    2 days and  16 hours
12-09-2023 05:00     15%    2 days and  15 hours
12-09-2023 05:45     16%    2 days and  14 hours
12-09-2023 06:28     17%    2 days and  13 hours
12-09-2023 07:11     18%    2 days and  13 hours
12-09-2023 07:54     19%    2 days and  12 hours
12-09-2023 08:38     20%    2 days and  11 hours
12-09-2023 09:21     21%    2 days and  10 hours
12-09-2023 10:05     22%    2 days and   9 hours
12-09-2023 10:50     23%    2 days and   9 hours
12-09-2023 11:34     24%    2 days and   8 hours
12-09-2023 12:17     25%    2 days and   7 hours
12-09-2023 13:00     26%    2 days and   6 hours
12-09-2023 13:45     27%    2 days and   6 hours
12-09-2023 14:30     28%    2 days and   5 hours
12-09-2023 15:17     29%    2 days and   4 hours
12-09-2023 16:03     30%    2 days and   4 hours
12-09-2023 16:51     31%    2 days and   3 hours
12-09-2023 17:39     32%    2 days and   3 hours
12-09-2023 18:26     33%    2 days and   2 hours
12-09-2023 19:15     34%    2 days and   1 hours
12-09-2023 20:07     35%    2 days and   1 hours
12-09-2023 20:57     36%    1 days and  24 hours
12-09-2023 21:49     37%    1 days and  24 hours
