Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    31.158775   51.779126

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7997905154E+000   0.1397094211E+001
Box 2    0.2396779048E+001   0.6165562757E+001

Rotation per molecule type
Box 1    0.4806498885E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.7038230472E+003
Box 2   0.6251235101E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 334   
Atomtype         X                  Y                   Z
  2       12.4491780583       25.5462437859       23.3758218066
  3       13.1200704208       24.6589403415       23.7047534643
  2       13.7909627832       23.7716368970       24.0336851220
  2        9.3959842713       28.1206361120       13.2884306456
  3        8.8026717592       28.4253607202       14.2374950144
  2        8.2093592471       28.7300853283       15.1865593833
  2        7.6899076086       25.5206650055       13.6468379759
  3        7.3744142313       25.4932224104       12.5309030169
  2        7.0589208539       25.4657798152       11.4149680578
  2        2.6034454255        2.9014016037        3.5651287107
  3        2.6599975204        1.8329338755        4.0132119332
  2        2.7165496152        0.7644661473        4.4612951558
  2       21.4128560385        9.1201006218        8.1725487224
  3       20.5322862739        9.8122233231        8.4744809268
  2       19.6517165093       10.5043460244        8.7764131311
  2       24.3703418117       11.4631215614       13.7031256934
  3       24.3535694414       12.4622700583       14.2922105504
  2       24.3367970710       13.4614185552       14.8812954075
  2        9.3645886926       10.5837622854        3.9099444627
  3        9.0068195256        9.4830690974        3.9878914254
  2        8.6490503584        8.3823759094        4.0658383881
  2        3.8083574615       18.5017169167       21.1095833059
  3        2.7411784243       18.5725587205       20.6604615616
  2        1.6739993870       18.6434005244       20.2113398173
  2       25.8660725374       22.1246087569       25.3199250479
  3       26.8132911475       21.4553858377       25.3426756385
  2       27.7605097574       20.7861629186       25.3654262292
  2        8.7825955480       28.5524658009        4.0876507426
  3        8.4489096870       27.8475787585        3.2289377501
  2        8.1152238261       27.1426917161        2.3702247574
  2        2.9701300244       15.3816695814        2.4662480659
  3        3.8626532297       14.6594547143        2.3006944077
  2        4.7551764350       13.9372398472        2.1351407496
  2       21.0828848367        4.3980775504       17.5087972382
  3       21.4091209765        3.4463471605       18.0861872675
  2       21.7353571163        2.4946167705       18.6635772968
  2       30.4015583166       24.5790807288       21.2222297166
  3       30.5345374230       23.6630114990       20.5231347850
  2       30.6675165295       22.7469422691       19.8240398533
  2       10.6347787790       25.9702504591        9.6788364862
  3        9.6841183458       26.6340233986        9.7141950157
  2        8.7334579126       27.2977963381        9.7495535452
  2        9.1767399984       -0.0357989182       26.7438084439
  3       10.1378727668        0.5561421641       27.0110715290
  2       11.0990055352        1.1480832463       27.2783346142
  2       24.8459270128        3.2737601470        3.0386803233
  3       24.9050994050        2.2145244022        3.5078479534
  2       24.9642717971        1.1552886575        3.9770155834
  2       19.9282491569       14.9174754667       26.4513854369
  3       19.1820478731       14.2344704509       27.0190894026
  2       18.4358465893       13.5514654353       27.5867933682
  2       19.2582559666       16.2046418151       10.1503059418
  3       19.8023386134       16.7433691800        9.2789008123
  2       20.3464212602       17.2820965450        8.4074956828
  2       25.3588726813       24.6513561384       19.9163777203
  3       26.3720238087       24.1859607429       20.2365837772
  2       27.3851749361       23.7205653475       20.5567898340
  2       14.6935965646        3.9732677945        5.7679638147
  3       15.4217976273        4.7348404820        5.2828553177
  2       16.1499986899        5.4964131696        4.7977468206
  2       28.3601252773        1.5228891672       20.9991552636
  3       29.2236063562        0.7954396749       20.7330393815
  2       30.0870874351        0.0679901828       20.4669234995
  2       19.3922305297        0.0917132817       28.2621645837
  3       20.2527712513        0.8547441039       28.4133387577
  2       21.1133119729        1.6177749260       28.5645129317
  2       30.0585002202        8.7397540132       22.6029539190
  3       29.1980130111        8.1855459912       22.0570462057
  2       28.3375258020        7.6313379693       21.5111384924
  2       14.5803912345        7.1700395451       21.4052182856
  3       14.1291061844        6.9603341837       20.3573798129
  2       13.6778211344        6.7506288224       19.3095413401
  2       10.8807330818       14.1767628248       23.3724802411
  3       10.3384393624       13.1700856639       23.1772403494
  2        9.7961456429       12.1634085028       22.9820004577
  2       18.4747998690        5.6331178161        6.9849799755
  3       18.0474149152        6.5219189801        7.5956964336
  2       17.6200299613        7.4107201440        8.2064128917
  2       13.0844229494       10.0583953963        4.0804594629
  3       13.7774363447        9.1961436706        3.7313829735
  2       14.4704497399        8.3338919448        3.3823064841
  2       14.3866893622       13.3625877219        3.9801926030
  3       13.9627874330       14.4341066027        4.1134384009
  2       13.5388855038       15.5056254834        4.2466841989
  2       13.3085180301        1.2665174885       12.9628333324
  3       13.3407241249        1.5294506810       11.8334844475
  2       13.3729302197        1.7923838734       10.7041355626
  2        5.9396306062       16.9801586375       29.4150758107
  3        5.1679314665       17.8292307095       29.2443214424
  2        4.3962323268       18.6783027816       29.0735670741
  2       19.0381102545       28.0734811196       28.9848099971
  3       20.0613197203       28.3529120034       29.4544489759
  2       21.0845291860       28.6323428873       29.9240879547
