Date and Time     Completed      Estimated Time Left
11-09-2023 18:39      1%    2 days and  24 hours
11-09-2023 19:24      2%    2 days and  24 hours
11-09-2023 20:09      3%    2 days and  24 hours
11-09-2023 20:54      4%    2 days and  23 hours
11-09-2023 21:40      5%    2 days and  23 hours
11-09-2023 22:25      6%    2 days and  23 hours
11-09-2023 23:12      7%    2 days and  22 hours
12-09-2023 00:00      8%    2 days and  22 hours
12-09-2023 00:49      9%    2 days and  22 hours
12-09-2023 01:38     10%    2 days and  21 hours
12-09-2023 02:29     11%    2 days and  21 hours
12-09-2023 03:22     12%    2 days and  21 hours
12-09-2023 04:15     13%    2 days and  21 hours
