Date and Time     Completed      Estimated Time Left
11-09-2023 18:39      1%    2 days and  22 hours
11-09-2023 19:22      2%    2 days and  22 hours
11-09-2023 20:05      3%    2 days and  22 hours
11-09-2023 20:49      4%    2 days and  21 hours
11-09-2023 21:32      5%    2 days and  20 hours
11-09-2023 22:14      6%    2 days and  19 hours
11-09-2023 22:57      7%    2 days and  19 hours
11-09-2023 23:41      8%    2 days and  18 hours
12-09-2023 00:24      9%    2 days and  17 hours
12-09-2023 01:06     10%    2 days and  17 hours
12-09-2023 01:48     11%    2 days and  16 hours
12-09-2023 02:33     12%    2 days and  15 hours
12-09-2023 03:17     13%    2 days and  15 hours
12-09-2023 04:01     14%    2 days and  14 hours
12-09-2023 04:45     15%    2 days and  13 hours
12-09-2023 05:30     16%    2 days and  13 hours
12-09-2023 06:15     17%    2 days and  12 hours
12-09-2023 07:00     18%    2 days and  12 hours
12-09-2023 07:46     19%    2 days and  11 hours
12-09-2023 08:34     20%    2 days and  11 hours
12-09-2023 09:24     21%    2 days and  10 hours
12-09-2023 10:13     22%    2 days and  10 hours
12-09-2023 11:05     23%    2 days and  10 hours
12-09-2023 11:58     24%    2 days and   9 hours
12-09-2023 12:51     25%    2 days and   9 hours
12-09-2023 13:46     26%    2 days and   9 hours
12-09-2023 14:41     27%    2 days and   8 hours
