# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.9930073636E+002   0.7540362001E+003   0.7505505274E+003
   0.1004405891E+003   0.7581012083E+003   0.7545494107E+003
   0.1015804418E+003   0.7622311979E+003   0.7586465982E+003
   0.1027202945E+003   0.7663771404E+003   0.7627949482E+003
   0.1038601473E+003   0.7704903332E+003   0.7669453333E+003
   0.1050000000E+003   0.7745256909E+003   0.7710500278E+003
   0.1061398527E+003   0.7784444808E+003   0.7750658578E+003
   0.1072797055E+003   0.7822161552E+003   0.7789566635E+003
   0.1084195582E+003   0.7858191363E+003   0.7826947901E+003
   0.1095594109E+003   0.7892406156E+003   0.7862615329E+003
   0.1106992636E+003   0.7924755867E+003   0.7896466590E+003


# Box 2                   Boltzmann             Biased
   0.1037377883E+003   0.1151551917E+003   0.1150204659E+003
   0.1039902307E+003   0.1154238321E+003   0.1152836187E+003
   0.1042426730E+003   0.1156936627E+003   0.1155478245E+003
   0.1044951153E+003   0.1159647567E+003   0.1158132001E+003
   0.1047475577E+003   0.1162371470E+003   0.1160798231E+003
   0.1050000000E+003   0.1165108190E+003   0.1163477232E+003
   0.1052524423E+003   0.1167857051E+003   0.1166168770E+003
   0.1055048847E+003   0.1170616817E+003   0.1168872039E+003
   0.1057573270E+003   0.1173385680E+003   0.1171585654E+003
   0.1060097693E+003   0.1176161280E+003   0.1174307668E+003
   0.1062622117E+003   0.1178940738E+003   0.1177035603E+003


# Molecule: AR                      
# Box 1                   Boltzmann             Biased
   0.9930073636E+002   0.1827993141E+003   0.1839202287E+003
   0.1004405891E+003   0.1812021411E+003   0.1823682019E+003
   0.1015804418E+003   0.1795528972E+003   0.1807506215E+003
   0.1027202945E+003   0.1778720462E+003   0.1790867507E+003
   0.1038601473E+003   0.1761805523E+003   0.1773973308E+003
   0.1050000000E+003   0.1744984544E+003   0.1757031535E+003
   0.1061398527E+003   0.1728436226E+003   0.1740236733E+003
   0.1072797055E+003   0.1712308612E+003   0.1723758622E+003
   0.1084195582E+003   0.1696714402E+003   0.1707734465E+003
   0.1095594109E+003   0.1681730482E+003   0.1692265766E+003
   0.1106992636E+003   0.1667400888E+003   0.1677419005E+003


# Box 2                   Boltzmann             Biased
   0.1037377883E+003   0.1822318252E+003   0.1823989564E+003
   0.1039902307E+003   0.1829564383E+003   0.1831291557E+003
   0.1042426730E+003   0.1836785827E+003   0.1838557939E+003
   0.1044951153E+003   0.1843976696E+003   0.1845782140E+003
   0.1047475577E+003   0.1851130771E+003   0.1852957540E+003
   0.1050000000E+003   0.1858241568E+003   0.1860077534E+003
   0.1052524423E+003   0.1865302420E+003   0.1867135612E+003
   0.1055048847E+003   0.1872306590E+003   0.1874125459E+003
   0.1057573270E+003   0.1879247389E+003   0.1881041058E+003
   0.1060097693E+003   0.1886118313E+003   0.1887876790E+003
   0.1062622117E+003   0.1892913169E+003   0.1894627536E+003


