Date and Time     Completed      Estimated Time Left
11-09-2023 18:39      1%    2 days and  23 hours
11-09-2023 19:24      2%    2 days and  24 hours
11-09-2023 20:08      3%    2 days and  23 hours
11-09-2023 20:52      4%    2 days and  23 hours
11-09-2023 21:38      5%    2 days and  23 hours
11-09-2023 22:24      6%    2 days and  22 hours
11-09-2023 23:12      7%    2 days and  22 hours
12-09-2023 00:00      8%    2 days and  22 hours
12-09-2023 00:49      9%    2 days and  22 hours
12-09-2023 01:40     10%    2 days and  22 hours
12-09-2023 02:34     11%    2 days and  22 hours
