Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  21 hours
11-09-2023 19:17      2%    2 days and  20 hours
11-09-2023 19:59      3%    2 days and  20 hours
11-09-2023 20:42      4%    2 days and  19 hours
11-09-2023 21:24      5%    2 days and  19 hours
11-09-2023 22:07      6%    2 days and  18 hours
11-09-2023 22:49      7%    2 days and  17 hours
11-09-2023 23:31      8%    2 days and  17 hours
12-09-2023 00:15      9%    2 days and  16 hours
12-09-2023 00:58     10%    2 days and  16 hours
12-09-2023 01:42     11%    2 days and  15 hours
12-09-2023 02:25     12%    2 days and  15 hours
12-09-2023 03:09     13%    2 days and  14 hours
12-09-2023 03:53     14%    2 days and  13 hours
12-09-2023 04:36     15%    2 days and  13 hours
12-09-2023 05:19     16%    2 days and  12 hours
12-09-2023 06:02     17%    2 days and  11 hours
12-09-2023 06:45     18%    2 days and  11 hours
12-09-2023 07:29     19%    2 days and  10 hours
12-09-2023 08:14     20%    2 days and   9 hours
12-09-2023 08:58     21%    2 days and   9 hours
12-09-2023 09:43     22%    2 days and   8 hours
12-09-2023 10:28     23%    2 days and   8 hours
12-09-2023 11:14     24%    2 days and   7 hours
12-09-2023 12:00     25%    2 days and   6 hours
12-09-2023 12:49     26%    2 days and   6 hours
12-09-2023 13:36     27%    2 days and   5 hours
12-09-2023 14:27     28%    2 days and   5 hours
12-09-2023 15:18     29%    2 days and   5 hours
12-09-2023 16:10     30%    2 days and   4 hours
12-09-2023 17:02     31%    2 days and   4 hours
12-09-2023 17:56     32%    2 days and   3 hours
12-09-2023 18:51     33%    2 days and   3 hours
12-09-2023 19:48     34%    2 days and   2 hours
