Date and Time     Completed      Estimated Time Left
11-09-2023 18:36      1%    2 days and  20 hours
11-09-2023 19:18      2%    2 days and  20 hours
11-09-2023 19:59      3%    2 days and  20 hours
11-09-2023 20:41      4%    2 days and  19 hours
11-09-2023 21:22      5%    2 days and  18 hours
11-09-2023 22:04      6%    2 days and  17 hours
11-09-2023 22:45      7%    2 days and  17 hours
11-09-2023 23:28      8%    2 days and  16 hours
12-09-2023 00:09      9%    2 days and  15 hours
12-09-2023 00:51     10%    2 days and  15 hours
12-09-2023 01:32     11%    2 days and  14 hours
12-09-2023 02:14     12%    2 days and  13 hours
12-09-2023 02:55     13%    2 days and  12 hours
12-09-2023 03:37     14%    2 days and  12 hours
12-09-2023 04:20     15%    2 days and  11 hours
12-09-2023 05:03     16%    2 days and  11 hours
12-09-2023 05:46     17%    2 days and  10 hours
12-09-2023 06:30     18%    2 days and  10 hours
12-09-2023 07:15     19%    2 days and   9 hours
12-09-2023 08:01     20%    2 days and   9 hours
12-09-2023 08:47     21%    2 days and   8 hours
12-09-2023 09:34     22%    2 days and   8 hours
12-09-2023 10:22     23%    2 days and   7 hours
12-09-2023 11:09     24%    2 days and   7 hours
12-09-2023 11:56     25%    2 days and   6 hours
12-09-2023 12:46     26%    2 days and   6 hours
12-09-2023 13:35     27%    2 days and   5 hours
12-09-2023 14:25     28%    2 days and   5 hours
12-09-2023 15:17     29%    2 days and   5 hours
12-09-2023 16:10     30%    2 days and   4 hours
12-09-2023 17:06     31%    2 days and   4 hours
12-09-2023 18:02     32%    2 days and   3 hours
12-09-2023 18:58     33%    2 days and   3 hours
12-09-2023 19:55     34%    2 days and   3 hours
